Name,Definition,Synonym,Output
selective IgM deficiency disease,A selective immunoglobulin deficiency disease thatis a dysgammaglobulinemia resulting from decreased levels of immunoglobulin M (IgM) production to roduction of other antibodies.,Q fever hepatitis,dysgammaglobulinemia
obsolete candidal gastritis,A candidiasis that involves inflammation of the gastric mucosa caused by Candida albicans infection. The symptoms include dyspepsia,Q fever hepatitis,dysgammaglobulinemia
obsolete Helicobacter heilmannii infectious disease,A primary Helicobacter infectious disease that involves inflammation of the stomach lining caused by Candidatus Helicobacter heilmannii,Q fever hepatitis,dysgammaglobulinemia
obsolete Histoplasma capsulatum gastritis,An American histoplasmosis that results_in inflammation,Q fever hepatitis,dysgammaglobulinemia
obsolete Morganella morganii intestinal infectious disease,An opportunistic bacterial infectious disease that involves infection of the intestine caused by Morganella morganii.,Q fever hepatitis,dysgammaglobulinemia
obsolete Vibrio cholerae O139 cholera,A cholera that involves infection of the intestine caused by Vibrio cholerae O139 strain.,Q fever hepatitis,dysgammaglobulinemia
obsolete amebic dysentery,An amebiasis that involves infection of the intestine with Entamoeba histolytica trophozoites,Entamoeba histolytica dysentery,dysgammaglobulinemia
obsolete Escherichia coli dysentery,An enteroinvasive Escherichia coli infectious disease that involves infection of the intestine caused by enteroinvasive Escherichia coli. The symptoms include fever,Entamoeba histolytica dysentery,dysgammaglobulinemia
obsolete intestinal capillariasis,A capillariasis that involves infection of the intestine with Capillaria causing abdominal pain,Entamoeba histolytica dysentery,dysgammaglobulinemia
obsolete hepatic capillariasis,A capillariasis that involves infection of the liver with Capillaria,Entamoeba histolytica dysentery,dysgammaglobulinemia
obsolete pulmonary capillariasis,A capillariasis that involves infection of the lungs with Capillaria,Entamoeba histolytica dysentery,dysgammaglobulinemia
obsolete Balamuthia mandrillaris infectious disease,A parasitic protozoa infectious disease that involves infection caused by a free-living ameba Balamuthia mandrillaris resulting in encephalitis and skin lesions in humans and animals.,Entamoeba histolytica dysentery,dysgammaglobulinemia
obsolete Acanthamoeba infectious disease,A parasitic protozoa infectious disease that involves an infection in humans and animals caused by a parasitic protozoan of genus Acanthamoeba,free-living ameba infectious disease,dysgammaglobulinemia
obsolete Alveolata infectious disease,A parasitic protozoa infectious disease that involves infection caused by alveolates,free-living ameba infectious disease,dysgammaglobulinemia
obsolete Heterolobosea infectious disease,A parasitic protozoa infectious disease that involves infection caused by the members of the class Heterolobosea,free-living ameba infectious disease,dysgammaglobulinemia
obsolete Euglenozoa infectious disease,A parasitic protozoa infectious disease that involves infection caused by euglenozoans,free-living ameba infectious disease,dysgammaglobulinemia
obsolete Parabasalia infectious disease,A parasitic protozoa infectious disease that involves infection caused by parabasalids,free-living ameba infectious disease,dysgammaglobulinemia
obsolete Fornicata infectious disease,A parasitic protozoa infectious disease that involves infection caused by fornicates,free-living ameba infectious disease,dysgammaglobulinemia
obsolete Trichomonadida infectious disease,A Parabasalia infectious disease that involves infection with anaerobic flagellate parasites belonging to the order Trichomonadida. They typically have four to six flagella at the cell's apical pole.,free-living ameba infectious disease,dysgammaglobulinemia
obsolete Tritrichomonadida infectious disease,A Parabasalia infectious disease that involves infection with anaerobic flagellate parasites belonging to the order Tritrichomonadida,free-living ameba infectious disease,dysgammaglobulinemia
selective IgA deficiency disease,A selective immunoglobulin deficiency disease that is the result of a deficiency of immunoglobulin A (IgA),Selective immunoglobulin A deficiency,dysgammaglobulinemia
selective IgG deficiency disease,A dysgammaglobulinemia that is characterized by isolated deficiency of an IgG subclass,Selective Immunoglobulin G Subclass deficiency,dysgammaglobulinemia
selective IgE deficiency disease,A dysgammaglobulinemia that is characterized by isolated deficiency of IgE and subsequent mildly increased susceptibility to parasitic infections and allergic or autoimmune-related diseases.,Selective immunoglobulin E deficiency,dysgammaglobulinemia
