Name,Definition,Synonym,Output
autosomal dominant dyskeratosis congenita 1,A dyskeratosis congenita that has_material_basis_in an autosomal dominant mutation of TERC on chromosome 3q26.2.,Dyskeratosis Congenita,dyskeratosis congenita
autosomal recessive dyskeratosis congenita 1,A dyskeratosis congenita that has_material_basis_in an autosomal dominant mutation of NOLA3 on chromosome 15q14.,DKCB1,dyskeratosis congenita
autosomal dominant dyskeratosis congenita 2,A dyskeratosis congenita that has_material_basis_in an autosomal dominant mutation of TERT on chromosome 5p15.33.,DKCA2,dyskeratosis congenita
autosomal recessive dyskeratosis congenita 2,A dyskeratosis congenita that has_material_basis_in an autosomal recessive mutation of NOLA2 on chromosome 5q35.3.,DKCB2,dyskeratosis congenita
autosomal dominant dyskeratosis congenita 3,A dyskeratosis congenita that has_material_basis_in an autosomal dominant mutation of TINF2 on chromosome 14q12.,DKCA3,dyskeratosis congenita
autosomal recessive dyskeratosis congenita 3,A dyskeratosis congenita that has_material_basis_in an autosomal recessive mutation of WRAP53 on chromosome 17p13.1.,DKCB3,dyskeratosis congenita
autosomal dominant dyskeratosis congenita 4,A dyskeratosis congenita that has_material_basis_in an autosomal dominant mutation of RTEL1 on chromosome 20q13.33.,DKCA4,dyskeratosis congenita
autosomal recessive dyskeratosis congenita 4,A dyskeratosis congenita that has_material_basis_in an autosomal recessive mutation of TERT on chromosome 5p15.33.,DKCB4,dyskeratosis congenita
autosomal recessive dyskeratosis congenita 5,A dyskeratosis congenita that has_material_basis_in an autosomal recessive mutation of RTEL1 on chromosome 20q13.33.,DKCB5,dyskeratosis congenita
autosomal dominant dyskeratosis congenita 6,A dyskeratosis congenita that has_material_basis_in an autosomal dominant mutation of ACD on chromosome 16q22.1.,DKCA6,dyskeratosis congenita
autosomal recessive dyskeratosis congenita 6,A dyskeratosis congenita that has_material_basis_in an autosomal recessive mutation of PARN on chromosome 16p13.12.,DKCB6,dyskeratosis congenita
X-linked dyskeratosis congenita,A dyskeratosis congenita that has_material_basis_in an X-linked recessive mutation of DKC1 on chromosome Xq28.,Zinsser-Cole-Engman syndrome,dyskeratosis congenita
Revesz syndrome,A dyskeratosis congenita that has_material_basis_in a mutation of TINF2 on chromosome 14q12.,exudative retinopathy with bone marrow failure,dyskeratosis congenita
