Name,Definition,Synonym,Output
spondylocostal dysostosis,A dysostosis that results_in abnormal development located_in vertebrae or located_in ribs. The bones of the spine do not develop properly,spondylothoracic dysplasia,dysostosis
brachydactyly,A dysostosis characterized by short fingers and toes.,glycogen storage disease type XV,dysostosis
obsolete Chlamydophila pneumoniae infectious disease,A dysostosis characterized by short fingers and toes.,glycogen storage disease type XV,dysostosis
multiple synostoses syndrome,A dysostosis that is characterized by premature joint ankylosis and has_material_basis_in autosomal dominant inhertitance.,persistent Muellerian duct syndrome,dysostosis
acrofrontofacionasal dysostosis,A dysostosis characterized by intellectual disability,Richieri-Costa-Colletto syndrome,dysostosis
acromelic frontonasal dysostosis,A dysostosis characterized by cranium bifidum,otocephaly,dysostosis
acrofacial dysostosis,A hetergeneous dysostosis that is characterized by digital dysplasia,OFD8,dysostosis
Cenani-Lenz syndactyly syndrome,A dysostosis characterized by syndactyly,syndactyly type 7,dysostosis
Laurin-Sandrow syndrome,A dysostosis characterized by polysyndactyly of hands and/or feet,TMIP,dysostosis
synostosis,A dysostosis that results_in abnormal fusing of adjacent bones.,Senile vaginitis,dysostosis
acrodysostosis,A dysostosis that results_in shortening of interphalangeal joints located_in hand or located_in foot along with mental deficiency.,localized Salmonella infectious disease,dysostosis
