Name,Definition,Synonym,Output
early infantile epileptic encephalopathy 9,An early infantile epileptic encephalopathy that has_material_basis_in the gene encoding protocadherin-19 (PCDH19) on chromosome Xq22.,Juberg Hellman syndrome,early infantile epileptic encephalopathy
early infantile epileptic encephalopathy 8,An early infantile epileptic encephalopathy characterized by seizures with onset before 2 years of age,Primary mediastinal clear cell lymphoma of B-cell type,early infantile epileptic encephalopathy
early infantile epileptic encephalopathy 56,An early infantile epileptic encephalopathy characterized by early-onset seizures in most patients,Alwadei syndrome,early infantile epileptic encephalopathy
early infantile epileptic encephalopathy 55,An early infantile epileptic encephalopathy that has_material_basis_in homozygous or compound heterozygous mutation in the PIGP gene on chromosome 21q22.,Alwadei syndrome,early infantile epileptic encephalopathy
early infantile epileptic encephalopathy 57,An early infantile epileptic encephalopathy that has_material_basis_in heterozygous mutation in the KCNT2 gene on chromosome 1q31.,Alwadei syndrome,early infantile epileptic encephalopathy
early infantile epileptic encephalopathy 58,An early infantile epileptic encephalopathy that has_material_basis_in heterozygous mutation in the NTRK2 gene on chromosome 9q21.,Alwadei syndrome,early infantile epileptic encephalopathy
early infantile epileptic encephalopathy 59,An early infantile epileptic encephalopathy that has_material_basis_in heterozygous mutation in the GABBR2 gene on chromosome 9q22.,Alwadei syndrome,early infantile epileptic encephalopathy
early infantile epileptic encephalopathy 39,An early infantile epileptic encephalopathy that has_material_basis_in mutation in the SLC25A12 gene on chromosome 2q31.,epileptic encephalopathy with global cerebral demyelination,early infantile epileptic encephalopathy
early infantile epileptic encephalopathy 18,An early infantile epileptic encephalopathy characterized by absence of developmental milestones,MUTYH-related attenuated FAP,early infantile epileptic encephalopathy
early infantile epileptic encephalopathy 15,An early infantile epileptic encephalopathy that has_material_basis_in homozygous or compound heterozygous mutation in the ST3GAL3 gene on chromosome 1p34.,MUTYH-related attenuated FAP,early infantile epileptic encephalopathy
early infantile epileptic encephalopathy 23,An early infantile epileptic encephalopathy that has_material_basis_in homozygous or compound heterozygous mutation in the DOCK7 gene on chromosome 1p31.,Epilepsy-cortical blindness-intellectual disability-facial dysmorphism syndrome,early infantile epileptic encephalopathy
early infantile epileptic encephalopathy 32,An early infantile epileptic encephalopathy characterized by seizure onset between 5 and 17 months of age resulting in residual neurologic deficits; in some patients seizures may remit or respond to drug treatment,Epilepsy-cortical blindness-intellectual disability-facial dysmorphism syndrome,early infantile epileptic encephalopathy
early infantile epileptic encephalopathy 38,An early infantile epileptic encephalopathy that has_material_basis_in homozygous mutation in the ARV1 gene on chromosome 1q42.,Epilepsy-cortical blindness-intellectual disability-facial dysmorphism syndrome,early infantile epileptic encephalopathy
