Name,Definition,Synonym,Output
syphilitic encephalitis,A parasitic helminthiasis infectious disease that involves parasitic infection by the genus Spirometra. A painful nodule develops after the plerocercoid larvae migrate to the brain causing cerebral sparganosis. Subcutaneous tissue,Sparganosis,encephalitis
post-vaccinal encephalitis,A purulent acute otitis media with no perforation of the tympanic membrane.,Postvaccinal encephalomyelitis,encephalitis
obsolete meningococcal encephalitis,A purulent acute otitis media with no perforation of the tympanic membrane.,Meningococcal encephalitis (disorder),encephalitis
obsolete hypocalcemia and hypomagnesemia of newborn,A purulent acute otitis media with no perforation of the tympanic membrane.,Hypocalcemia and/or hypomagnesemia of newborn (disorder),encephalitis
acute necrotizing encephalitis,A viral infectious disease that results_in infection in cattle,Three-Day Stiffsickness,encephalitis
acute hemorrhagic encephalitis,A viral infectious disease that results_in infection in cattle,Three-Day Stiffsickness,encephalitis
von Economo's disease,A viral infectious disease that results_in infection in cattle,von Economo disease,encephalitis
obsolete vaginal blue nevus,A viral infectious disease that results_in infection in cattle,von Economo disease,encephalitis
obsolete cellular blue nevus,A viral infectious disease that results_in infection in cattle,cellular Blue nevus of the skin,encephalitis
obsolete common blue nevus,A viral infectious disease that results_in infection in cattle,Common blue nevus of skin (disorder),encephalitis
viral encephalitis,An encephalitis that involves inflammation of the brain caused by viral infection.,epidemic encephalitis,encephalitis
