Name,Definition,Synonym,Output
endocrine organ benign neoplasm,An organ system benign neoplasm that is located_in endocrine glands which secretes a type of hormone directly into the bloodstream to regulate the body.,non-bacterial thrombotic endocarditis,endocrine system disease
cortisone reductase deficiency,An endocrine system disease characterized by failure to regenerate the active glucocorticoid cortisol from cortisone resulting in adrenal hyperandrogenism.,CORTRD,endocrine system disease
parathyroid gland disease,An endocrine system disease that is located_in the parathyroid gland.,disease of parathyroid glands,endocrine system disease
endocrine gland cancer,An organ system cancer located_in endocrine system that is characterized by uncontrolled cellular proliferation of the hormone producing glands of the endocrine system.,neoplasm of endocrine system,endocrine system disease
gonadal disease,An endocrine system disease that is located_in the gonads.,Sore throat - chronic,endocrine system disease
obsolete joint derangement,An endocrine system disease that is located_in the gonads.,Sore throat - chronic,endocrine system disease
pancreas disease,An endocrine system disease that is located_in the pancreas.,Glottic carcinoma,endocrine system disease
thyroid gland disease,An endocrine system disease that is located_in the thyroid.,Syphilitic alopecia (disorder),endocrine system disease
obsolete cutaneous syphilis,An endocrine system disease that is located_in the thyroid.,Syphilitic skin disorder,endocrine system disease
obsolete equine infectious anemia,A viral infectious disease that results_in breakdown of red blood cells in horses,Fever,endocrine system disease
pituitary gland disease,An endocrine system disease that is located_in the pituitary gland.,pituitary disease,endocrine system disease
adrenal gland disease,An endocrine system disease that is located_in the adrenal gland.,plasma cell myeloma,endocrine system disease
