Name,Definition,Synonym,Output
endometrial mucinous adenocarcinoma,An endometrial adenocarcinoma that derives_from epithelial cells originating in glandular tissue,uterine Corpus mucinous adenocarcinoma,endometrial adenocarcinoma
endometrial clear cell adenocarcinoma,An endometrial adenocarcinoma that is characterized by the presence of cells with clear cytoplasm.,Clear cell carcinoma of Endometrium,endometrial adenocarcinoma
villoglandular endometrial endometrioid adenocarcinoma,An endometrial adenocarcinoma that is characterized by papillary differentiation.,peripheral neuroblastoma,endometrial adenocarcinoma
obsolete renal pelvis and ureter localized transitional cell cancer,An endometrial adenocarcinoma that is characterized by papillary differentiation.,localized Urothelial carcinoma of the renal Pelvis and Ureter,endometrial adenocarcinoma
oxyphilic endometrial endometrioid adenocarcinoma,An endometrial adenocarcinoma that is composed predominantly or entirely of large eosinophilic cells.,relapsed cancer of the gallbladder,endometrial adenocarcinoma
secretory uterine corpus endometrioid adenocarcinoma,An endometrial adenocarcinoma that is characterized by the presence of confluent,paraurethral gland carcinoma,endometrial adenocarcinoma
mucin-rich endometrial endometrioid adenocarcinoma,An endometrial adenocarcinoma that is characterized by the presence of abundant mucin.,paraurethral gland carcinoma,endometrial adenocarcinoma
obsolete recurrent childhood soft tissue sarcoma,An endometrial adenocarcinoma that is characterized by the presence of abundant mucin.,relapsed pediatric sarcoma of the soft tissue,endometrial adenocarcinoma
obsolete nonmetastatic childhood soft tissue sarcoma,An endometrial adenocarcinoma that is characterized by the presence of abundant mucin.,Non-metastatic pediatric soft tissue sarcoma,endometrial adenocarcinoma
sarcomatoid uterine corpus endometrioid adenocarcinoma,An endometrial adenocarcinoma that has_material_basis in mesenchymal elements.,germ cell neoplasm of the pediatric brain,endometrial adenocarcinoma
endometrial mixed adenocarcinoma,An endometrial adenocarcinoma that is composed of both type I (endometrioid) and type II (serous or clear cell type) tumors,Undifferentiated astrocytoma of adult,endometrial adenocarcinoma
