Name,Definition,Synonym,Output
esophagus lymphoma,A primary bacterial infectious disease that results_in systemic infection,Lymphoma of esophagus,esophageal cancer
esophageal carcinoma,A esophageal cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.,carcinoma of oesophagus,esophageal cancer
obsolete cyst of thyroid,A esophageal cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.,Thyroid cyst,esophageal cancer
esophagus melanoma,A parasitic ectoparasitic infectious disease that involves parasitic infestation by members of the subclass Hirudinea. The leeches remain attached to their hosts and feed on blood until they become full,melanoma of esophagus,esophageal cancer
esophagus sarcoma,An esophageal cancer that arises from transformed cells of mesenchymal origin sarcoma and located_in the esophagus.,esophageal sarcoma,esophageal cancer
obsolete anthrax septicemia,An esophageal cancer that arises from transformed cells of mesenchymal origin sarcoma and located_in the esophagus.,Anthrax septicemia (disorder),esophageal cancer
obsolete Pars plana primary cyst,An esophageal cancer that arises from transformed cells of mesenchymal origin sarcoma and located_in the esophagus.,primary cyst of pars plana (disorder),esophageal cancer
obsolete vascular lesions of cord complicating labor and delivery,An esophageal cancer that arises from transformed cells of mesenchymal origin sarcoma and located_in the esophagus.,vascular lesions of cord complicating labor and delivery,esophageal cancer
malignant granular cell esophageal tumor,An endocrine gland located_in the pineal gland located in the brain.,granular cell tumor of esophagus,esophageal cancer
esophageal adenosquamous carcinoma,An esophageal carcinoma that derives_from squamous cells and gland-like cells.,bile duct Adenosquamous carcinoma,esophageal cancer
esophageal neuroendocrine tumor,A hematologic cancer and central nervous system neoplasm that is located_in the central nervous system.,neuroendocrine tumor of esophagus,esophageal cancer
obsolete recurrent hepatoblastoma,A hematologic cancer and central nervous system neoplasm that is located_in the central nervous system.,relapsed Hepatoblastoma,esophageal cancer
obsolete recurrent childhood cancer of liver,A hematologic cancer and central nervous system neoplasm that is located_in the central nervous system.,relapsed pediatric cancer of the Liver,esophageal cancer
esophageal basaloid squamous cell carcinoma,A vulva squamous cell carcinoma that is composed of nests of immature,Basaloid squamous carcinoma of esophagus,esophageal cancer
obsolete anaplastic small cell thyroid carcinoma,A vulva squamous cell carcinoma that is composed of nests of immature,Undifferentiated small cell carcinoma of the Thyroid gland,esophageal cancer
