Name,Definition,Synonym,Output
esophageal lipoma,A lipoma that is an asymptomatic,Lipoma of esophagus,esophageal disease
esophageal atresia,A muscular disease that is located_in the diaphragm.,Oesophageal atresia,esophageal disease
esophagitis,A Trichomonas vaginalis trichomoniasis that involves inflammation of the urinary bladder caused by Trichomonas vaginalis. The symptoms include pain during urination,acute esophagitis,esophageal disease
obsolete Histoplasma capsulatum retinitis,An American histoplasmosis that results_in inflammation located_in retina,Histoplasma capsulatum with retinitis (disorder),esophageal disease
esophageal candidiasis,A candidiasis that involves fungal infection of the esophagus by Candida albicans in immunocompromised people,esophageal thrush,esophageal disease
esophageal diverticulosis,An aspergillosis that involves an allergic reaction due to the spores of Aspergillus moulds (A. fumigatus),Tuberculosis of female genital organs,esophageal disease
megaesophagus,An aspergillosis that involves an allergic reaction due to the spores of Aspergillus moulds (A. fumigatus),Tuberculosis of female genital organs,esophageal disease
esophageal cancer,A gastrointestinal system cancer that is located_in the esophagus.,malignant tumor of the middle Third of the esophagus,esophageal disease
esophageal tuberculosis,A gastrointestinal tuberculosis that involves formation of tuberculous ulcers located_in esophagus. The infection has_symptom dysphagia,tuberculosis of esophagus,esophageal disease
esophageal leukoplakia,An in situ carcinoma that is located_in the larynx.,Leukoplakia of esophagus,esophageal disease
achalasia,An esophageal disease that is characterized by an inability of the esophagus to move food toward the stomach resulting from the lower esophogeal sphincter not fully relaxing during swallowing.,Lack of reflex relaxation of lower oesophageal sphincter,esophageal disease
dyskinesia of esophagus,A parasitic protozoa infectious disease that involves infection caused by the amoeba Entamoeba histolytica. Amebic invasion of the intestinal lining causes dysentery,Oesophageal motor disorder,esophageal disease
obsolete Herpes simplex virus keratitis,A Simplexvirus infectious disease that results_in inflammation located_in cornea of the eye,ocular herpes simplex,esophageal disease
obsolete Sezary's disease involving intrathoracic lymph nodes,A Simplexvirus infectious disease that results_in inflammation located_in cornea of the eye,Szary's disease of intrathoracic lymph nodes (disorder),esophageal disease
obsolete cataplexy and narcolepsy,A Simplexvirus infectious disease that results_in inflammation located_in cornea of the eye,Szary's disease of intrathoracic lymph nodes (disorder),esophageal disease
Barrett's esophagus,A lichen disease that is located_in skin,ulcerative esophagitis,esophageal disease
esophagus squamous cell papilloma,A brain disease that is characterized as an acute inflammation of the brain with flu-like symptoms.,urethral Stone,esophageal disease
esophagus leiomyoma,A primary bacterial infectious disease that results_in infection located_in intestine caused by eating food contaminated with enterotoxins produced by bacteria,staphyloenterotoxicosis,esophageal disease
