Name,Definition,Synonym,Output
monocular esotropia,A squamous cell carcinoma that is located_in the prostate.,Lymphoma of the prostate,esotropia
obsolete intermittent monocular esotropia,A squamous cell carcinoma that is located_in the prostate.,Monocular intermittent esotropia (disorder),esotropia
obsolete monocular esotropia with A pattern,A squamous cell carcinoma that is located_in the prostate.,Monocular esotropia with A pattern (disorder),esotropia
obsolete monocular esotropia with V pattern,A squamous cell carcinoma that is located_in the prostate.,Monocular esotropia with V pattern (disorder),esotropia
accommodative esotropia,A withdrawal disorder that is characterized by a group of problems that occur in a newborn who was exposed to addictive illegal or prescription drugs while in the mother's womb or postnatally following the discontinuance of drug treatment.,hypermetropia,esotropia
obsolete temporomandibular joint disorder,A withdrawal disorder that is characterized by a group of problems that occur in a newborn who was exposed to addictive illegal or prescription drugs while in the mother's womb or postnatally following the discontinuance of drug treatment.,TMJ-pain-dysfunction syndrome,esotropia
alternating esotropia,A myopathy is characterized by progressive skeletal muscle weakness degeneration.,Benign pseudohypertrophic muscular dystrophy,esotropia
obsolete alternating esotropia with A pattern,A myopathy is characterized by progressive skeletal muscle weakness degeneration.,Benign pseudohypertrophic muscular dystrophy,esotropia
obsolete intermittent alternating esotropia,A myopathy is characterized by progressive skeletal muscle weakness degeneration.,Benign pseudohypertrophic muscular dystrophy,esotropia
obsolete alternating esotropia with V pattern,A myopathy is characterized by progressive skeletal muscle weakness degeneration.,Benign pseudohypertrophic muscular dystrophy,esotropia
