Name,Definition,Synonym,Output
eyelid degenerative disease,A sleeping sickness that involves infection caused by Trypanosoma brucei gambiense,West African trypanosomiasis,eyelid disease
obsolete degenerative disorder of eyelid and periocular area,A sleeping sickness that involves infection caused by Trypanosoma brucei gambiense,West African trypanosomiasis,eyelid disease
hyperpigmentation of eyelid,A sleeping sickness that involves infection caused by Trypanosoma brucei gambiense,dyspigmentation of eyelid,eyelid disease
blepharophimosis,A pneumoconiosis that results_in humans that also have rheumatoid arthritis.,Unspecified latent schizophrenia (disorder),eyelid disease
hypopigmentation of eyelid,A pigmentation disease that is characterized by loss of pigmentation of the eyelid and has_symptom white or light macules or patches on the eyelid,trisomy 13,eyelid disease
hypertrichosis of eyelid,A pigmentation disease that is characterized by loss of pigmentation of the eyelid and has_symptom white or light macules or patches on the eyelid,trisomy 13,eyelid disease
hypotrichosis of eyelid,A pigmentation disease that is characterized by loss of pigmentation of the eyelid and has_symptom white or light macules or patches on the eyelid,trisomy 13,eyelid disease
entropion,An impaired renal function disease characterized by a complete or partial resistance of the kidneys to vasopressin (ADH).,Entropion or trichiasis of eyelid NOS (disorder),eyelid disease
lagophthalmos,A vulva cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.,Vulvar carcinoma,eyelid disease
ectropion,A carcinoma that derives_from the cells that line an organ.,Everted margin,eyelid disease
eyelid benign neoplasm,A vaginal disease that is characterized by inflammation of the vagina.,tumor of the eyelid,eyelid disease
blepharochalasis,An eyelid disease that is characterized by exacerbations and remissions of eyelid edema,Uveal tumor,eyelid disease
eyelid carcinoma,An ovarian carcinoma that has_material_basis_in abnormally proliferating cells and derives_from epithelial cells.,carcinoma of the eyelid,eyelid disease
blepharitis,An eyelid disease that is characterized by often chronic inflammation of the eyelid,abscess of eyelid (disorder),eyelid disease
obsolete tuberculous bronchiectasis,A pulmonary tuberculosis characterized by bronchial compression and obstruction as a result of enlarged lymph nodes of the primary complex or by infiltration of the wall of the bronchi by caseous lymph nodes.,abscess of eyelid (disorder),eyelid disease
hordeolum,Hordeolum is a sequelae of infectious and parasitic disease consisting of an infection of the sebaceous glands at the base of the eyelashes. Styes are generally caused by a Staphylococcus aureus bacterial infection.,Stye,eyelid disease
