Name,Definition,Synonym,Output
familial febrile seizures 8,A familial febrile seizures that has_material_basis_in heterozygous mutation in GABRG2 on chromosome 5q34.,8-Feb,familial febrile seizures
familial febrile seizures 9,A familial febrile seizures that has_material_basis_in variation in a region on chromosome 3p24.2-p23.,9-Feb,familial febrile seizures
familial febrile seizures 10,A familial febrile seizures that has_material_basis_in variation in a region on chromosome 3q26.2-q26.33.,10-Feb,familial febrile seizures
familial febrile seizures 4,A familial febrile seizures that has_material_basis_in heterozygous mutation ADGRV1 on chromosome 5q14.3.,4-Feb,familial febrile seizures
familial febrile seizures 5,A familial febrile seizures that has_material_basis_in variation in a region on chromosome 6q22-q24.,5-Feb,familial febrile seizures
familial febrile seizures 1,A familial febrile seizures that has_material_basis_in variation in a region on chromosome 8q13-q21.,1-Feb,familial febrile seizures
familial febrile seizures 11,A familial febrile seizures that has_material_basis_in homozygous mutation in CPA6 on chromosome 8p13.2.,11-Feb,familial febrile seizures
familial febrile seizures 6,A familial febrile seizures that has_material_basis_in variation in a region on chromosome 18p11.2.,6-Feb,familial febrile seizures
familial febrile seizures 2,A familial febrile seizures that has_material_basis_in variation in a region on chromosome 19p13.3.,2-Feb,familial febrile seizures
familial febrile seizures 7,A familial febrile seizures that has_material_basis_in heterozygous mutation.,7-Feb,familial febrile seizures
