Name,Definition,Synonym,Output
nephrotic syndrome type 14,A familial nephrotic syndrome that has_material_basis_in autosomal recessive inheritance of homozygous or compound heterozygous mutation in the sphingosine-1-phosphate lyase 1 (SGPL1) gene on chromosome 10q21.,Alwadei syndrome,familial nephrotic syndrome
nephrotic syndrome type 15,A familial nephrotic syndrome that has_material_basis_in homozygous or compound heterozygous mutation in the MAGI2 gene on chromosome 7q21.,Alwadei syndrome,familial nephrotic syndrome
nephrotic syndrome type 16,A familial nephrotic syndrome that has_material_basis_in homozygous or compound heterozygous mutation in the KANK2 gene on chromosome 19p13.,Alwadei syndrome,familial nephrotic syndrome
nephrotic syndrome type 2,A familial nephrotic syndrome characterized by steroid resistance and childhood onset of proteinuria,steroid-resistant autosomal recessive nephrotic syndrome,familial nephrotic syndrome
nephrotic syndrome type 5,A familial nephrotic syndrome characterized by prenatal or neonatal onset of progressive renal failure with proteinurea and edema that has_material_basis_in homozygous or compound heterozygous mutation in the LAMB2 gene on chromosome 3p.,nephrotic syndrome type 5,familial nephrotic syndrome
nephrotic syndrome type 13,A familial nephrotic syndrome characterized by early onset of steroid-resistant nephrotic syndrome and focal segmental glomerulosclerosis that has_material_basis_in homozygous mutation in the NUP205 gene on chromosome 7q33.,nephrotic syndrome type 5,familial nephrotic syndrome
nephrotic syndrome type 3,A familial nephrotic syndrome characterized by early childhood onset,early onset nephrotic syndrome type 3,familial nephrotic syndrome
nephrotic syndrome type 4,A familial nephrotic syndrome that has_material_basis_in heterozygous mutation in the WT1 gene on chromosome 11p13.,early onset nephrotic syndrome type 3,familial nephrotic syndrome
nephrotic syndrome type 6,A familial nephrotic syndrome that has_material_basis_in homozygous mutation in the PTPRO gene on chromosome 12p12.,early onset nephrotic syndrome type 3,familial nephrotic syndrome
nephrotic syndrome type 11,A familial nephrotic syndrome characterized by onset in the first decade of life of steroid resistant progressive renal disease that has_material_basis_in homozygous or compound heterozygous mutation in the NUP107 gene on chromosome 12q15.,early onset nephrotic syndrome type 3,familial nephrotic syndrome
nephrotic syndrome type 10,A familial nephrotic syndrome characterized by early childhood onset that has_material_basis_in homozygous or compound heterozygous mutation in the EMP2 gene on chromosome 16p13.,early onset nephrotic syndrome type 3,familial nephrotic syndrome
nephrotic syndrome type 12,A familial nephrotic syndrome characterized by early childhood onset of steroid-resistant progressive renal failure with focal segmental glomerulosclerosis that has_material_basis_in homozygous or compound heterozygous mutation in the NUP93 gene on chromosome 16q13.,early onset nephrotic syndrome type 3,familial nephrotic syndrome
nephrotic syndrome type 7,A familial nephrotic syndrome characterized by onset in the first decade of life of progressive renal disease with proteinuria and membranoproliferative glomerulonephritis that has_material_basis_in homozygous or compound heterozygous mutation in the DGKE gene on chromosome 17q22.,nephrotic syndrome type 7 with membranoptoliferative glomerulonephritis,familial nephrotic syndrome
nephrotic syndrome type 8,A familial nephrotic syndrome characterized by neonatal or early childhood onset steroid resistant renal disease that has_material_basis_in homozygous or compound heterozygous mutation in the ARHGDIA gene on chromosome 17q25.,nephrotic syndrome type 7 with membranoptoliferative glomerulonephritis,familial nephrotic syndrome
nephrotic syndrome type 1,A familial nephrotic syndrome characterized by prenatal onset of massive proteinuria followed by steroid resistant renal disease that has_material_basis_in homozygous or compound heterozygous mutation in the NPHS1 gene on chromosome 19q13.,Finnish congenital nephrosis,familial nephrotic syndrome
nephrotic syndrome type 9,A familial nephrotic syndrome characterized by steroid-resistant proteinuria,Finnish congenital nephrosis,familial nephrotic syndrome
nephrotic syndrome type 17,A familial nephrotic syndrome that has_material_basis_in  by homozygous or compound heterozygous mutation in the NUP85 gene on chromosome 17q25.,Finnish congenital nephrosis,familial nephrotic syndrome
nephrotic syndrome type 18,A familial nephrotic syndrome that has_material_basis_in by homozygous or compound heterozygous mutation in the NUP133 gene on chromosome 1q42.,Finnish congenital nephrosis,familial nephrotic syndrome
nephrotic syndrome type 19,A familial nephrotic syndrome that has_material_basis_in compound heterozygous mutation in the NUP160 gene on chromosome 11p11.,Finnish congenital nephrosis,familial nephrotic syndrome
