Name,Definition,Synonym,Output
female breast nipple and areola cancer,A female breast cancer that is located_in the nipple and areola.,malignant neoplasm of nipple or areola of female breast,female breast cancer
obsolete Amoebozoa infectious disease,A parasitic protozoa infectious disease that involves infection caused by amoeboid protozoa.,sarcodina,female breast cancer
obsolete cutaneous amebiasis,An amebiasis that involves infection of the skin caused by the parasite Entamoeba histolytica,Amoebic skin ulceration,female breast cancer
obsolete Acanthamoeba keratitis,A parasitic protozoa infectious disease that involves infection of the cornea of the eye with Acanthamoeba in people wearing contact lenses. The symptoms include eye pain,Acanthamoeba keratitis (disorder),female breast cancer
obsolete Blastocystis hominis infectious disease,A parasitic stramenopiles infectious disease that involves infection of the intestine with a pathogenic heterokont Blastocystis hominis. The symptoms include watery diarrhea,Acanthamoeba keratitis (disorder),female breast cancer
female breast central part cancer,A female breast cancer that is located_in the center of the breast.,malignant neoplasm of central portion of female breast,female breast cancer
female breast lower-outer quadrant cancer,A female breast cancer that is located_in the lower-outer qudrant of the breast.,malignant neoplasm of lower-outer quadrant of female breast,female breast cancer
obsolete metastatic tumor to the brain stem,A female breast cancer that is located_in the lower-outer qudrant of the breast.,metastatic tumor to the Brainstem,female breast cancer
female breast upper-inner quadrant cancer,A female breast cancer that is located_in the upper-inner quadrant of the breast.,malignant neoplasm of upper-inner quadrant of female breast,female breast cancer
female breast lower-inner quadrant cancer,A female breast cancer that is located_in the lower-inner quadrant of the breast.,malignant neoplasm of lower-inner quadrant of female breast,female breast cancer
female breast axillary tail cancer,A female breast cancer that is located_in the breast tissue extending into the axilla.,malignant neoplasm of axillary tail of female breast,female breast cancer
female breast upper-outer quadrant cancer,A female breast cancer that is located_in the upper-outer quadrant of the breast.,cardiac aneurysm,female breast cancer
