Name,Definition,Synonym,Output
Bothnia retinal dystrophy,A fundus dystrophy that is characterized by early onset of night blindness and decreased visual acuity that progresses to blindness in early adulthood,Vasterbotten dystrophy,fundus dystrophy
fundus albipunctatus,A fundus dystrophy that is characterized by discrete uniform white dots over the entire fundus with greatest density in the midperiphery and no macular involvement.,retinitis punctata albescens,fundus dystrophy
obsolete glaucoma associated with anterior segment anomaly,A fundus dystrophy that is characterized by discrete uniform white dots over the entire fundus with greatest density in the midperiphery and no macular involvement.,Glaucoma associated with other anterior segment anomalies,fundus dystrophy
obsolete glaucoma associated with ocular disorder,A fundus dystrophy that is characterized by discrete uniform white dots over the entire fundus with greatest density in the midperiphery and no macular involvement.,Glaucoma associated with other anterior segment anomalies,fundus dystrophy
obsolete malignant neoplasm of cervical part of esophagus,A fundus dystrophy that is characterized by discrete uniform white dots over the entire fundus with greatest density in the midperiphery and no macular involvement.,malignant tumor of cervical part of esophagus (disorder),fundus dystrophy
obsolete psychosexual dysfunction with female orgasmic disease,A fundus dystrophy that is characterized by discrete uniform white dots over the entire fundus with greatest density in the midperiphery and no macular involvement.,malignant tumor of cervical part of esophagus (disorder),fundus dystrophy
retinal dystrophies primarily involving Bruch's membrane,A tularemia that results_in inflammation of eye and swelling of lymph glands in front of the ear.,retinal dystrophies primarily involving Bruch membrane,fundus dystrophy
obsolete malignant neoplasm of trachea,A tularemia that results_in inflammation of eye and swelling of lymph glands in front of the ear.,malignant neoplasm of trachea,fundus dystrophy
obsolete Diffuse cholesteatosis of middle ear and mastoid,A tularemia that results_in inflammation of eye and swelling of lymph glands in front of the ear.,malignant neoplasm of trachea,fundus dystrophy
vitreoretinal dystrophy,A chromosomal disease that is characterized by flat-looking facial features and weak muscle tone (hypotonia) in infancy and is caused by trisomy of all or a critical portion of chromosome 21 and is associated with intellectual disability.,Vitreoretinal dystrophies,fundus dystrophy
dystrophies primarily involving the retinal pigment epithelium,A chromosomal disease that is characterized by flat-looking facial features and weak muscle tone (hypotonia) in infancy and is caused by trisomy of all or a critical portion of chromosome 21 and is associated with intellectual disability.,Vitreoretinal dystrophies,fundus dystrophy
retinal dystrophy in systemic or cerebroretinal lipidoses,A chromosomal disease that is characterized by flat-looking facial features and weak muscle tone (hypotonia) in infancy and is caused by trisomy of all or a critical portion of chromosome 21 and is associated with intellectual disability.,Vitreoretinal dystrophies,fundus dystrophy
hereditary retinal dystrophy,A lower respiratory tract disease in which the function of the lungs is adversely affected by narrowing or blockage of the airways resulting in poor air flow,Congenital night blindness,fundus dystrophy
