Name,Definition,Synonym,Output
intrahepatic gall duct cancer,An autoimmune hypersensitivity disease that is caused by T helper cell mediated autoimmune attack of melanocytes resulting in inflammation of the inside of the eye,malignant neoplasm of intrahepatic gall duct,gallbladder cancer
obsolete speckled lentiginous nevus,An autoimmune hypersensitivity disease that is caused by T helper cell mediated autoimmune attack of melanocytes resulting in inflammation of the inside of the eye,Speckled lentiginous naevus,gallbladder cancer
obsolete diphtheritic membranous angina,A diphtheria that involves a bluish white membrane formation on the faucial pillars,Faucial diphtheria (disorder),gallbladder cancer
gallbladder sarcoma,A sarcoma that is located_in the gallbladder.,malignant mesenchymal tumor of gallbladder,gallbladder cancer
gallbladder angiosarcoma,An angiosarcoma and gallbladder sarcoma that is located_in the gallbladder.,hemangiosarcoma of gallbladder,gallbladder cancer
gallbladder carcinoma,A gallbladder cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.,carcinoma of gallbladder,gallbladder cancer
adenosquamous gallbladder carcinoma,A gallbladder carcinoma that derives_from squamous cells and gland-like cells.,Adenosquamous carcinoma of the gallbladder,gallbladder cancer
gallbladder small cell carcinoma,A hematologic cancer that is located in the blood or bone marrow that doesn't respond to treatment.,Oat cell carcinoma of the gallbladder,gallbladder cancer
gallbladder papillary carcinoma,A papillary carcioma that is located_in the gallbladder.,Papillary carcinoma of the gallbladder,gallbladder cancer
gallbladder lymphoma,A breast mucinous carcinoma that is characterized by tall columnar cells with basal,Lymphoma of the gallbladder,gallbladder cancer
obsolete transitional cell carcinoma of the ureter with mixed differentiation,A breast mucinous carcinoma that is characterized by tall columnar cells with basal,ureteral transitional cell carcinoma with mixed differentiation,gallbladder cancer
gallbladder melanoma,A thyroid gland follicular carcinoma that is characterized by the presence of large cells with eosinophilic granular cytoplasm and pleomorphic nuclei with prominent,malignant melanoma of gallbladder,gallbladder cancer
