Name,Definition,Synonym,Output
primary congenital glaucoma,A glaucoma that is characterized by damage to the optic nerves that reduces peripheral vision and leads to blindness,thoracic pelvic phalangeal dystrophy,glaucoma
open-angle glaucoma,A glaucoma characterized by optic nerve damage resulting in progressive loss of visual field and increased pressure in the eye due to trabecular blockage.,Wide-angle glaucoma,glaucoma
hypersecretion glaucoma,An esophageal cancer that arises from transformed cells of mesenchymal origin sarcoma and located_in the esophagus.,vascular lesions of cord complicating labor and delivery,glaucoma
aqueous misdirection,An esophageal cancer that arises from transformed cells of mesenchymal origin sarcoma and located_in the esophagus.,vascular lesions of cord complicating labor and delivery,glaucoma
phacogenic glaucoma,A Chagas disease that involves deterioration of the function of the myocardium caused due to Trypanosoma cruzi infection,Transient hypertension of pregnancy,glaucoma
traumatic glaucoma,An acquired immunodeficiency syndrome that results_in infection located_in brain,Glaucoma associated with ocular trauma,glaucoma
obsolete moderate recurrent major depression,An acquired immunodeficiency syndrome that results_in infection located_in brain,recurrent depressive disorder,glaucoma
angle-closure glaucoma,A parathyroid gland disease characterized by an overactivity of the parathyroid glands,primary open-angle glaucoma with narrow angles,glaucoma
obsolete gonococcal peritonitis,A parathyroid gland disease characterized by an overactivity of the parathyroid glands,primary open-angle glaucoma with narrow angles,glaucoma
obsolete pharyngeal gonorrhea,A parathyroid gland disease characterized by an overactivity of the parathyroid glands,Gonorrhea of pharynx (disorder),glaucoma
obsolete gonococcal keratosis,A parathyroid gland disease characterized by an overactivity of the parathyroid glands,Gonococcal keratosis (disorder),glaucoma
obsolete gonococcal urethritis,A parathyroid gland disease characterized by an overactivity of the parathyroid glands,Gonococcal urethritis (disorder),glaucoma
obsolete lymphoma by site,A parathyroid gland disease characterized by an overactivity of the parathyroid glands,Gonococcal urethritis (disorder),glaucoma
neovascular glaucoma,An eye disease that is characterized by an unstable or a sustained increase in the intraocular pressure which the eye cannot withstand without damage to its structure or impairment of its function.,secondary angle-closure glaucoma with rubeosis,glaucoma
borderline glaucoma,An eye disease that is characterized by elevated intraocular pressure in the absence of optic nerve damage or visual field loss.,Preglaucoma,glaucoma
steroid-induced glaucoma,An acute inflammation of lacrimal passage that is characterized by inflammation of the lacrimal sac,Corticosteroid-induced glaucoma,glaucoma
