Name,Definition,Synonym,Output
glomerulosclerosis,A glomerulonephritis that is characterized by hardening of the glomerulus in the kidney.,obstructive sleep apnea syndrome,glomerulonephritis
lupus nephritis,A glomerulonephritis that is characterized by inflammation of the kidneys resulting from systemic lupus erythematosus.,CMV retinitis,glomerulonephritis
membranous glomerulonephritis,An ovarian disease that is characterized by inflammation of the ovary.,membranous nephropathy,glomerulonephritis
obsolete poliovirus type III nonparalytic poliomyelitis,A nonparalytic poliomyelitis that results_in destruction located_in motor neurons,acute nonparalytic poliomyelitis poliovirus type III,glomerulonephritis
obsolete poliovirus type I nonparalytic poliomyelitis,A nonparalytic poliomyelitis that results_in destruction located_in motor neurons,acute nonparalytic poliomyelitis poliovirus type I,glomerulonephritis
chronic rapidly progressive glomerulonephritis,A female reproductive system disease that is located_in the ovary.,chronic glomerulonephritis with lesion of rapidly progressive glomerulonephritis,glomerulonephritis
acute proliferative glomerulonephritis,A blepharitis that is characterized by an infection of the sebaceous glands of Zeis at the base of the eyelashes,acute glomerulonephritis with lesion of proliferative glomerulonephritis,glomerulonephritis
acute poststreptococcal glomerulonephritis,A female reproductive organ cancer that is located_in the paraurethral glands.,Post-Streptococcal Glomerulonephritis,glomerulonephritis
membranoproliferative glomerulonephritis,A hypersensitivity reaction type IV disease that results from the presence of excessive amounts of a single monoclonal gammaglobulin in the blood.,Lobular glomerulonephritis,glomerulonephritis
IgA glomerulonephritis,A glomerulonephritis characterized by build up of IgA antibody in the glomerulus.,segmental glomerulonephritis,glomerulonephritis
rapidly progressive glomerulonephritis,A viral infectious disease that results_in infection in domesticated housecats,Mesoblastic nephroma,glomerulonephritis
exudative glomerulonephritis,A viral infectious disease that results_in infection in domesticated housecats,Mesoblastic nephroma,glomerulonephritis
proliferative glomerulonephritis,A viral infectious disease that results_in infection in domesticated housecats,Mesoblastic nephroma,glomerulonephritis
focal embolic glomerulonephritis,A viral infectious disease that results_in infection in domesticated housecats,Mesoblastic nephroma,glomerulonephritis
obsolete breast vascular neoplasm,A viral infectious disease that results_in infection in domesticated housecats,vascular tumor of breast,glomerulonephritis
diffuse glomerulonephritis,A Goodpasture syndrome that is characterized by damage to only kidney capillaries.,anti-GBM glomerulonephritis,glomerulonephritis
subacute glomerulonephritis,A Goodpasture syndrome that is characterized by damage to only kidney capillaries.,anti-GBM glomerulonephritis,glomerulonephritis
mesangial proliferative glomerulonephritis,A Goodpasture syndrome that is characterized by damage to only kidney capillaries.,anti-GBM glomerulonephritis,glomerulonephritis
immune-complex glomerulonephritis,A Goodpasture syndrome that is characterized by damage to only kidney capillaries.,Immune Complex Glomerulonephritis,glomerulonephritis
obsolete primitive neuroectodermal tumor with Leptomeningeal Spread,A Goodpasture syndrome that is characterized by damage to only kidney capillaries.,Immune Complex Glomerulonephritis,glomerulonephritis
