Name,Definition,Synonym,Output
Vagus nerve disease,A parasitic helminthiasis infectious disease that involves infection of the intestine,Vagus nerve disorder,glossopharyngeal nerve disease
hypoglossal nerve disease,A uterine disease that is characterized by the presence of scar tissue which attaches the uterus to another structure.,disorder of XII nerve,glossopharyngeal nerve disease
obsolete single episode manic disease moderate degree,A uterine disease that is characterized by the presence of scar tissue which attaches the uterus to another structure.,disorder of XII nerve,glossopharyngeal nerve disease
obsolete single episode manic disorder mild degree,A uterine disease that is characterized by the presence of scar tissue which attaches the uterus to another structure.,disorder of XII nerve,glossopharyngeal nerve disease
multiple cranial nerve palsy,A hypolipoproteinemia that is characterized by an inablility to fully absorb dietary fats,Multiple cranial nerve palsy,glossopharyngeal nerve disease
glossopharyngeal neuralgia,A filariasis that is a zoonotic infection caused by the nematode of the genus Dipetalonema,Glossopharyngeal neuralgia,glossopharyngeal nerve disease
obsolete secondary malignant neoplasm of intra-abdominal lymph node,A filariasis that is a zoonotic infection caused by the nematode of the genus Dipetalonema,secondary malignant neoplasm of intra-abdominal lymph nodes (disorder),glossopharyngeal nerve disease
obsolete secondary malignant neoplasm of intrathoracic lymph node,A filariasis that is a zoonotic infection caused by the nematode of the genus Dipetalonema,secondary malignant neoplasm of intrathoracic lymph nodes (disorder),glossopharyngeal nerve disease
accessory nerve disease,An ectodermal dysplasia that is characterized by palmoplantar keratoderma associated with early-onset periodontitis and has_material_basis_in homozygous or compound heterozygous mutation in the cathepsin C gene on chromosome 11q14.,Eleventh nerve disorder,glossopharyngeal nerve disease
olfactory nerve disease,A brain disease that is characterized by nerve injury located_in olfactory nerve,disorder of olfactory nerve,glossopharyngeal nerve disease
