Name,Definition,Synonym,Output
glycogen storage disease XV,A glycogen storage disease characterized by muscle weakness and cardiac abnormalities caused and has_material_basis_in mutation in the GYG1 gene that encodes glycogenin-1.,glycogen storage disease type XV,glycogen storage disease
glycogen storage disease IX,A glycogen storage disease characterized by deficiency of hepatic phosphorylase kinase activity.,thoracic pelvic phalangeal dystrophy,glycogen storage disease
lethal congenital glycogen storage disease of heart,A glycogen storage disease characterized by glycogenosis confined to the heart,phosphorylase kinase deficiency of heart,glycogen storage disease
glycogen storage disease VII,A muscular dystrophy that is characterized by predominant weakness and atrophy beginning in the feet and/or hands.,phosphofructokinase myopathy,glycogen storage disease
glycogen storage disease V,A personality disorder that involves an excessive preoccupation with issues of personal adequacy,myophosphorylase deficiency,glycogen storage disease
glycogen storage disease III,A glycogen metabolism disorder that has_material_basis_in enzymes deficiencies necessary in the processing of glycogen synthesis or breakdown within muscles,Glycogen storage disease,glycogen storage disease
glycogen storage disease I,A glycogen storage disease that has_material_basis_in deficiency of the glucose-6-phosphatase enzyme which impairs the ability of the liver to produce free glucose from glycogen and from gluconeogenesis and is characterized by accumulation of glycogen and fat in the liver and kidneys,von Gierke's disease,glycogen storage disease
glycogen storage disease IV,A glycogen storage disease that has_material_basis_in deficiency of the glucose-6-phosphatase enzyme which impairs the ability of the liver to produce free glucose from glycogen and from gluconeogenesis and is characterized by accumulation of glycogen and fat in the liver and kidneys,Glycogen storage disease,glycogen storage disease
glycogen storage disease VIII,A glycogen storage disease that has_material_basis_in deficiency of the glucose-6-phosphatase enzyme which impairs the ability of the liver to produce free glucose from glycogen and from gluconeogenesis and is characterized by accumulation of glycogen and fat in the liver and kidneys,hepatic glycogen phosphorylase kinase deficiency,glycogen storage disease
glycogen storage disease II,A glycogen storage disease that has_material_basis_in deficiency of the lysosomal acid alpha-glucosidase enzyme resulting in damage to muscle and nerve cells due to an accumulation of glycogen in the lysosome.,Pompe's disease,glycogen storage disease
obsolete nervous system lysosomal storage disease,A glycogen storage disease that has_material_basis_in deficiency of the lysosomal acid alpha-glucosidase enzyme resulting in damage to muscle and nerve cells due to an accumulation of glycogen in the lysosome.,Pompe's disease,glycogen storage disease
glycogen storage disease VI,A glycogen storage disease characterized by enlargement of the liver,Hers' disease,glycogen storage disease
