Name,Definition,Synonym,Output
Brugada syndrome,A heart conduction disease that is characterized by abnormal electrocardiogram (ECG) findings and an increased risk of sudden cardiac death.,SUNDS,heart conduction disease
short QT syndrome,A heart conduction disease that is characterized by heart arrhythmia defined as a short QT interval on an EKG (less than 300 ms) that does not significantly change with heart rate,persistent Muellerian duct syndrome,heart conduction disease
atrioventricular block,A heart conduction disease that is characterized by the impairment of the conduction between the atria and ventricles of the heart.,AV block,heart conduction disease
sinoatrial node disease,A heart conduction disease that is characterized by dysfunction of the impulse-generating (pacemaker) tissue located in the right atrium of the heart which generates normal sinus rhythm.,sinuatrial node,heart conduction disease
atrial fibrillation,A heart conduction disease that is characterized by uncoordinated electrical activity in the heart's upper chambers (the atria),A-fib,heart conduction disease
catecholaminergic polymorphic ventricular tachycardia,A heart conduction disease characterized by adrenergically induced ventricular tachycardia manifesting as syncope and sudden death during exercise,familial cavernous angioma,heart conduction disease
progressive familial heart block,A heart conduction disease characterized by autosomal dominant inheritance of a cardiac conduction defect that may progress to complete atrioventricular (AV) block and maybe asymptomatic of manifest as dyspnea,PFHB,heart conduction disease
postural orthostatic tachycardia syndrome,A heart conduction disease characterized by orthostatic intolerance that has_material_basis_in heterozygous mutation in the SLC6A2 gene on chromosome 16q12.2.,soldiers heart,heart conduction disease
left bundle branch hemiblock,A viral infectious disease that results in inflammation located in salivary gland,Left bundle branch block,heart conduction disease
right bundle branch block,A nutritional deficiency disease characterized by noncancerous enlargement of the thyroid gland and has_material_basis_in iodine deficiency.,Right bundle branch block with left posterior fascicular block,heart conduction disease
obsolete secondary malignant neoplasm of brain and spinal cord,A nutritional deficiency disease characterized by noncancerous enlargement of the thyroid gland and has_material_basis_in iodine deficiency.,secondary malignant neoplasm of brain or spinal cord NOS (disorder),heart conduction disease
obsolete metastasis to skin,A nutritional deficiency disease characterized by noncancerous enlargement of the thyroid gland and has_material_basis_in iodine deficiency.,secondary malignant neoplasm of skin NOS (disorder),heart conduction disease
obsolete metastatic cancer to the breast,A nutritional deficiency disease characterized by noncancerous enlargement of the thyroid gland and has_material_basis_in iodine deficiency.,secondary malignant neoplasm of female breast (disorder),heart conduction disease
Wolff-Parkinson-White syndrome,A pituitary gland benign neoplasm that derives_from glandular epithelial cells.,Wolff-Parkinson-White pattern,heart conduction disease
