Name,Definition,Synonym,Output
autoimmune cardiomyopathy,An autoimmune disease of cardiovascular system that is characterized by deterioration of the function of the heart muscle.,DILE,heart disease
cardiomyopathy,A heart disease and a myopathy that is characterized by deterioration of the function of the heart muscle.,Cardiomyopathies,heart disease
endocardium disease,A heart disease that is located_in the innermost layer of tissue that lines the chambers of the heart.,sinuatrial node,heart disease
heart conduction disease,A cardiovascular system disease that involves the heart's electrical conduction system.,heart rhythm disease,heart disease
obsolete schizo-affective type schizophrenia in remission,A cardiovascular system disease that involves the heart's electrical conduction system.,heart rhythm disease,heart disease
obsolete Pseudomonas intestinal infectious disease,A Pseudomonas infectious disease that involves infection of the intestine caused by the bacterial genus Pseudomonas,intestinal infectious disease due to pseudomonas,heart disease
obsolete Vasa previa complicating labor and delivery,A Pseudomonas infectious disease that involves infection of the intestine caused by the bacterial genus Pseudomonas,Vasa previa complicating labor and delivery,heart disease
obsolete Vasa previa,A Pseudomonas infectious disease that involves infection of the intestine caused by the bacterial genus Pseudomonas,Vasa previa unspecified (disorder),heart disease
obsolete Vasa previa complicating labor and delivery,A Pseudomonas infectious disease that involves infection of the intestine caused by the bacterial genus Pseudomonas,Vasa previa unspecified (disorder),heart disease
hypertensive heart disease,A heart disease that is caused by high blood pressure.,Tongue,heart disease
congenital heart disease,A bladder disease that is characterized by inflammation of the bladder.,Heart-congenital defect,heart disease
obsolete glaucoma associated with vascular disorder,A bladder disease that is characterized by inflammation of the bladder.,Heart-congenital defect,heart disease
heart valve disease,A heart disease involving one or more of the four valves of the heart (the aortic and mitral valves on the left and the pulmonary and tricuspid valves on the right).,Valvular heart disease,heart disease
congestive heart failure,A heart disease that is characterized by any structural or functional cardiac disorder that impairs the ability of the heart to fill with or pump a sufficient amount of blood throughout the body.,Weak heart,heart disease
heart lipoma,A heart lipoma that is located_in the epicardium and derives_from fat cells.,Lipoma of Heart,heart disease
rheumatic myocarditis,A bone inflammation disease that involves a response to irritation or injury,Rheumatoid myocarditis,heart disease
heart aneurysm,Emphysematous cholecystitis is a bacterial infectious disease consisting of an inflammation of the gallbladder characterized by air-filled expansions in interstitial or subcutaneous tissues.,cardiac aneurysm,heart disease
obsolete Retracted nipple associated with childbirth,Emphysematous cholecystitis is a bacterial infectious disease consisting of an inflammation of the gallbladder characterized by air-filled expansions in interstitial or subcutaneous tissues.,cardiac aneurysm,heart disease
