Name,Definition,Synonym,Output
arteriovenous malformation,A hemangioma that is characterized by a configuration of blood vessels that shunts arterial blood directly into veins by bypassing the capillary system.,Racemose hemangioma,hemangioma
intracranial structure hemangioma,A skin carcinoma affecting basal cells.,hemangioma of intracranial structures,hemangioma
hemangioma of intra-abdominal structure,An organ system cancer located in the hematological system that is characterized by uncontrolled cellular proliferation in blood,hemangioma,hemangioma
venous hemangioma,A kyphosis that results_in abnormal formation located_in body of vertebra.,Kyphosis deformity of spine,hemangioma
deep angioma,A thyroid gland carcinoma that is composed of groups of squamoid and mucous cells,Mucoepidermoid carcinoma of Larynx,hemangioma
subglottic angioma,A malignant giant cell tumor that is composed_of multinucleated giant cells.,hemangioma of the Subglottis,hemangioma
histiocytoid hemangioma,A testicular cancer that has_material_basis_in the surface epithelium of the testis and is characterized by the presence of cysts lined by transitional cells and solid nests of transitional cells in a spindle cell stroma.,epithelioid hemangioma,hemangioma
obsolete mixed embryonal carcinoma and teratoma of the testis,A testicular cancer that has_material_basis_in the surface epithelium of the testis and is characterized by the presence of cysts lined by transitional cells and solid nests of transitional cells in a spindle cell stroma.,mixed Embryonal carcinoma and teratoma of testis,hemangioma
glomeruloid hemangioma,An astrocytoma that is characterized by cells that look like fibers when viewed under a microscope and is located_in the brain.,Glomeruloid hemangioma,hemangioma
acquired hemangioma,A renal pelvis carcinoma that derives_from epithelial cells of glandular origin.,renal pelvis cancer,hemangioma
sclerosing hemangioma,A gallbladder cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.,Sclerosing hemangioma,hemangioma
spindle cell hemangioma,An epidermolysis bullosa that is characterized by formation of recurrent blisters secondary to minor trauma in the skin and mucosa,SCH,hemangioma
central nervous system hemangioma,A hypogonadism that is characterized by the lack of mature male germ cells and testicular hormones.,hemangioma of CNS,hemangioma
hobnail hemangioma,A vulvar benign neoplasm of neural origin that is characterized by round to polyhedral cells with indistinct margins and granular cytoplasm due to the accumulation of lysosomes. They occur in ribbons or clumps separated by hyalinised stroma and collaged fibers with uniform,Posterior Pituitary tumor,hemangioma
hemangioblastoma,A Human immunodeficiency virus infectious disease that results_in inflammation located_in wall of artery of the central nervous system,Capillary Hemangioblastoma,hemangioma
obsolete resectable cholangiocellular carcinoma,A Human immunodeficiency virus infectious disease that results_in inflammation located_in wall of artery of the central nervous system,Capillary Hemangioblastoma,hemangioma
obsolete visual alteration,A Human immunodeficiency virus infectious disease that results_in inflammation located_in wall of artery of the central nervous system,Capillary Hemangioblastoma,hemangioma
obsolete recurrent cholangiocellular carcinoma,A Human immunodeficiency virus infectious disease that results_in inflammation located_in wall of artery of the central nervous system,Capillary Hemangioblastoma,hemangioma
obsolete hilar cholangiocellular carcinoma,A Human immunodeficiency virus infectious disease that results_in inflammation located_in wall of artery of the central nervous system,Capillary Hemangioblastoma,hemangioma
obsolete liver fluke-related cholangiocarcinoma,A Human immunodeficiency virus infectious disease that results_in inflammation located_in wall of artery of the central nervous system,Opisthorchis Viverrini-Related Cholangiocellular carcinoma,hemangioma
obsolete parasite-related carcinoma,A Human immunodeficiency virus infectious disease that results_in inflammation located_in wall of artery of the central nervous system,Opisthorchis Viverrini-Related Cholangiocellular carcinoma,hemangioma
synovial angioma,A female urethral cancer located_in the anterior urethra.,hemangioma of Synovium,hemangioma
perineural angioma,An organ system cancer located_in the ear and characterized by uncontrolled cellular proliferation of the auditory organs.,Resectable carcinoma of the Small Bowel,hemangioma
obsolete testicular intratubular germ cell neoplasia with extratubular extension,An organ system cancer located_in the ear and characterized by uncontrolled cellular proliferation of the auditory organs.,Resectable carcinoma of the Small Bowel,hemangioma
