Name,Definition,Synonym,Output
Tn polyagglutination syndrome,A hematopoietic system disease that is characterized by red blood cells that agglutinate upon exposure to almost all human sera,galactosyltransferase deficiency,hematopoietic system disease
blood coagulation disease,An anemia that is characterized by a reduction in the number of red blood cells,postpartum coagulation defect with delivery,hematopoietic system disease
anemia,A hematopoietic system disease that is characterized by a decrease in the normal number of red blood cells.,anaemia,hematopoietic system disease
hereditary elliptocytosis,A hematopoietic system disease characterized by oval or elliptical red blood cells,ovalocytosis,hematopoietic system disease
obsolete chronic progressive multiple sclerosis,A hematopoietic system disease characterized by oval or elliptical red blood cells,chronic progressive multiple sclerosis (disorder),hematopoietic system disease
hematologic cancer,An organ system cancer located in the hematological system that is characterized by uncontrolled cellular proliferation in blood,malignant hematopoietic neoplasm,hematopoietic system disease
blood group incompatibility,An immune system disease that is an overactive immune response of the body against substances and tissues normally present in the body resulting from an abnormal functioning of the immune system that results in the production of antibodies or T cell directed against the host tissues.,Rh incompatibility affecting management of mother,hematopoietic system disease
bone marrow disease,A hematopoietic cancer that derives_from the blood-forming stem cells of the bone marrow.,bone marrow disorder,hematopoietic system disease
blood protein disease,An arthritis that is an autoimmune disease which develops due to an infection located elsewhere in the body.,blood protein disorder,hematopoietic system disease
obsolete recurrent malignant pericardial mesothelioma,An arthritis that is an autoimmune disease which develops due to an infection located elsewhere in the body.,blood protein disorder,hematopoietic system disease
leukocyte disease,A hematopoietic system disease that is located_in white blood cells.,Persistent vitelline duct,hematopoietic system disease
