Name,Definition,Synonym,Output
nonpapillary renal cell carcinoma,A tularemia that results_in bacteremia and has_symptom fever,prolonged electroretinal response suppression,hereditary renal cell carcinoma
obsolete Bacteroides fragilis peritonitis,A tularemia that results_in bacteremia and has_symptom fever,prolonged electroretinal response suppression,hereditary renal cell carcinoma
obsolete Capnocytophaga canimorsus meningitis,A tularemia that results_in bacteremia and has_symptom fever,prolonged electroretinal response suppression,hereditary renal cell carcinoma
obsolete Capnocytophaga canimorsus endocarditis,A tularemia that results_in bacteremia and has_symptom fever,prolonged electroretinal response suppression,hereditary renal cell carcinoma
obsolete Elizabethkingia meningoseptica meningitis,A tularemia that results_in bacteremia and has_symptom fever,prolonged electroretinal response suppression,hereditary renal cell carcinoma
obsolete streptococcal necrotizing fasciitis,A tularemia that results_in bacteremia and has_symptom fever,prolonged electroretinal response suppression,hereditary renal cell carcinoma
obsolete Chryseobacterium indologenes pneumonia,A tularemia that results_in bacteremia and has_symptom fever,prolonged electroretinal response suppression,hereditary renal cell carcinoma
obsolete nocardial pneumonia,A tularemia that results_in bacteremia and has_symptom fever,prolonged electroretinal response suppression,hereditary renal cell carcinoma
obsolete nocardial cellulitis,A tularemia that results_in bacteremia and has_symptom fever,prolonged electroretinal response suppression,hereditary renal cell carcinoma
obsolete nocardial keratitis,A tularemia that results_in bacteremia and has_symptom fever,prolonged electroretinal response suppression,hereditary renal cell carcinoma
obsolete cerebral Bilophila wadsworthia infectious disease,A tularemia that results_in bacteremia and has_symptom fever,prolonged electroretinal response suppression,hereditary renal cell carcinoma
familial renal papillary carcinoma,An embryonal testis carcinoma that occurs in children.,Hereditary Papillary renal carcinoma,hereditary renal cell carcinoma
hereditary conventional renal cell carcinoma,An ovarian cystadenoma that is characterized by the presence of endometrial tissue.,Lymphocytic Thyroiditis,hereditary renal cell carcinoma
