Name,Definition,Synonym,Output
Troyer syndrome,A hereditary spastic paraplegia that is characterized by spasticity of the leg muscles,SPG20,hereditary spastic paraplegia
Mast syndrome,A hereditary spastic paraplegia associated with dementia.,SPG21,hereditary spastic paraplegia
MASA syndrome,A hereditary spastic paraplegia that is characterized by hydrocephalus,X-linked spastic paraplegia 1,hereditary spastic paraplegia
hereditary spastic paraplegia 10,A hereditary spastic paraplegia that has_material_basis_in mutation in the KIF5A gene on chromosome 12q13.,SPG10,hereditary spastic paraplegia
hereditary spastic paraplegia 11,A hereditary spastic paraplegia that has_material_basis_in mutation in the SPG11 gene on chromosome 15q21.,SPG11,hereditary spastic paraplegia
hereditary spastic paraplegia 12,A hereditary spastic paraplegia that has_material_basis_in mutation in the RTN2 gene on chromosome 19q13.,SPG12,hereditary spastic paraplegia
hereditary spastic paraplegia 13,A hereditary spastic paraplegia that is characterized by a pure form of the disease with late onset and has_material_basis_in mutation in the HSPD1 on chromosome 2q33.,SPG13,hereditary spastic paraplegia
hereditary spastic paraplegia 14,A hereditary spastic paraplegia that has_material_basis_in variation in the chromosome region 3q27-q28.,SPG14,hereditary spastic paraplegia
hereditary spastic paraplegia 15,A hereditary spastic paraplegia that has_material_basis_in mutation in the ZFYVE26 gene on chromosome 14q24.1.,SPG15,hereditary spastic paraplegia
hereditary spastic paraplegia 16,A hereditary spastic paraplegia that has_material_basis_in variation in the chromosome region Xq11.2.,X-linked spastic paraplegia type 16,hereditary spastic paraplegia
hereditary spastic paraplegia 17,A hereditary spastic paraplegia that has_material_basis_in mutation in the BSCL2 gene on chromosome 11q12.,SPG17,hereditary spastic paraplegia
hereditary spastic paraplegia 18,A hereditary spastic paraplegia that has_material_basis_in mutation in the ERLIN2 gene on chromosome 8p11.,SPG18,hereditary spastic paraplegia
hereditary spastic paraplegia 19,A hereditary spastic paraplegia that has_material_basis_in variation in the chromosome region 9q.,SPG19,hereditary spastic paraplegia
hereditary spastic paraplegia 2,A hereditary spastic paraplegia that has_material_basis_in mutation in the PLP1 gene on chromosome Xq22.2.,X-linked spastic paraplegia 2,hereditary spastic paraplegia
hereditary spastic paraplegia 23,A hereditary spastic paraplegia that has_material_basis_in variation in the chromosome region 1q24-q32.,SPG23,hereditary spastic paraplegia
hereditary spastic paraplegia 24,A hereditary spastic paraplegia that has_material_basis_in variation in the chromosome region 13q14.,SPG24,hereditary spastic paraplegia
hereditary spastic paraplegia 25,A hereditary spastic paraplegia that has_material_basis_in variation in the chromosome region 6q23-q24.1.,SPG25,hereditary spastic paraplegia
hereditary spastic paraplegia 26,A hereditary spastic paraplegia that has_material_basis_in mutation in the B4GALNT1 gene on chromosome 12q13.,SPG26,hereditary spastic paraplegia
