Name,Definition,Synonym,Output
hypogonadotropic hypogonadism 11 with or without anosmia,A hypogonadotropic hypogonadism that has_material_basis_in homozygous mutation in the TACR3 gene on chromosome 4q24.,isolated congenital gonadotropin deficiency,hypogonadotropic hypogonadism
hypogonadotropic hypogonadism 12 with or without anosmia,A hypogonadotropic hypogonadism that has_material_basis_in homozygous mutation in the GNRH1 gene on chromosome 8p21.,familial idiopathic gonadotrpin deficiency,hypogonadotropic hypogonadism
hypogonadotropic hypogonadism 13 with or without anosmia,A hypogonadotropic hypogonadism that has_material_basis_in homozygous mutation in the KISS1 gene on chromosome 1q32.,familial idiopathic gonadotrpin deficiency,hypogonadotropic hypogonadism
hypogonadotropic hypogonadism 8 with or without anosmia,A hypogonadotropic hypogonadism that has_material_basis_in homozygous or compound heterozygous mutation in the KISS1R gene on chromosome 19p13,familial idiopathic gonadotrpin deficiency,hypogonadotropic hypogonadism
hypogonadotropic hypogonadism 15 with or without anosmia,A hypogonadotropic hypogonadism that has_material_basis_in mutation in the HS6ST1 gene on chromosome 2q14,familial idiopathic gonadotrpin deficiency,hypogonadotropic hypogonadism
hypogonadotropic hypogonadism 18 with or without anosmia,A hypogonadotropic hypogonadism that has_material_basis_in heterozygous or homozygous mutation in the IL17RD gene on chromosome 3p14,familial idiopathic gonadotrpin deficiency,hypogonadotropic hypogonadism
hypogonadotropic hypogonadism 4 with or without anosmia,A hypogonadotropic hypogonadism that has_material_basis_in heterozygous mutation in the prokineticin-2 gene (PROK2) on chromosome 3p13,familial idiopathic gonadotrpin deficiency,hypogonadotropic hypogonadism
hypogonadotropic hypogonadism 7 with or without anosmia,A hypogonadotropic hypogonadism that has_material_basis_in homozygous or compound heterozygous mutation in the GNRHR gene on chromosome 4q13,familial idiopathic gonadotrpin deficiency,hypogonadotropic hypogonadism
hypogonadotropic hypogonadism 17 with or without anosmia,A hypogonadotropic hypogonadism that has_material_basis_in heterozygous mutation in the SPRY4 gene on chromosome 5q31,familial idiopathic gonadotrpin deficiency,hypogonadotropic hypogonadism
hypogonadotropic hypogonadism 16 with or without anosmia,A hypogonadotropic hypogonadism that has_material_basis_in mutation in the SEMA3A gene on chromosome 7,familial idiopathic gonadotrpin deficiency,hypogonadotropic hypogonadism
hypogonadotropic hypogonadism 22 with or without anosmia,A hypogonadotropic hypogonadism that has_material_basis_in homozygous mutation in the FEZF1 gene on chromosome 7q31.,familial idiopathic gonadotrpin deficiency,hypogonadotropic hypogonadism
hypogonadotropic hypogonadism 20 with or without anosmia,A hypogonadotropic hypogonadism that has_material_basis_in heterozygous mutation in the FGF17 gene on chromosome 8p21,familial idiopathic gonadotrpin deficiency,hypogonadotropic hypogonadism
hypogonadotropic hypogonadism 2 with or without anosmia,A hypogonadotropic hypogonadism that has_material_basis_in heterozygous mutation in the FGFR1 gene on chromosome 8p11,familial idiopathic gonadotrpin deficiency,hypogonadotropic hypogonadism
hypogonadotropic hypogonadism 5 with or without anosmia,A hypogonadotropic hypogonadism that is characterised by autosomal dominant inheritance and has_material_basis_in heterozygous mutation in the CHD7 gene on chromosome 8q12.,familial idiopathic gonadotrpin deficiency,hypogonadotropic hypogonadism
hypogonadotropic hypogonadism 9 with or without anosmia,A hypogonadotropic hypogonadism that is characterized by autosomal dominant inheritance and has_material_basis_in heterozygous mutation in the NELF gene on chromosome 9q34,familial idiopathic gonadotrpin deficiency,hypogonadotropic hypogonadism
hypogonadotropic hypogonadism 6 with or without anosmia,A hypogonadotropic hypogonadism that is characterized by autosomal dominant inheritance and has_material_basis_in heterozygous mutation in the FGF8 gene on chromosome 10q24,familial idiopathic gonadotrpin deficiency,hypogonadotropic hypogonadism
hypogonadotropic hypogonadism 14 with or without anosmia,A hypogonadotropic hypogonadism that has_material_basis_in heterozygous mutation in the WDR11 gene on chromosome 10q26.,familial idiopathic gonadotrpin deficiency,hypogonadotropic hypogonadism
hypogonadotropic hypogonadism 24 without anosmia,A hypogonadotropic hypogonadism that has_material_basis_in homozygous or compound heterozygous mutation in the FSHB gene on chromosome 11p14.,isolated follicle-stimulating hormone deficiency,hypogonadotropic hypogonadism
hypogonadotropic hypogonadism 10 with or without anosmia,A hypogonadotropic hypogonadism that has_material_basis_in homozygous mutation in the TAC3 gene on chromosome 12q13.,isolated follicle-stimulating hormone deficiency,hypogonadotropic hypogonadism
hypogonadotropic hypogonadism 19 with or without anosmia,A hypogonadotropic hypogonadism that has_material_basis_in heterozygous mutation in the DUSP6 gene on chromosome 12q22,isolated follicle-stimulating hormone deficiency,hypogonadotropic hypogonadism
hypogonadotropic hypogonadism 23 with or without anosmia,A hypogonadotropic hypogonadism that has_material_basis_in homozygous or compound heterozygous mutation in the LHB gene on chromosome 19q13.,Pasqualini syndrome,hypogonadotropic hypogonadism
hypogonadotropic hypogonadism 3 with or without anosmia,A hypogonadotropic hypogonadism that has_material_basis_in heterozygous mutation in the PROKR2 gene on chromosome 20p12,Pasqualini syndrome,hypogonadotropic hypogonadism
hypogonadotropic hypogonadism 21 with or without anosmia,A hypogonadotropic hypogonadism that has_material_basis_in heterozygous mutation in the FLRT3 gene on 20p11,Pasqualini syndrome,hypogonadotropic hypogonadism
hypogonadotropic hypogonadism 1 with or without anosmia,A hypogonadotropic hypogonadism that has_material_basis_in mutation in the KAL1 gene on chromosome Xp22.3,dysplasia olfactogenitalis of de morsier,hypogonadotropic hypogonadism
Kallmann syndrome,A hypogonadotropic hypogonadism with a defective sense of smell (anosmia or hyposmia).,Kallman's syndrome,hypogonadotropic hypogonadism
