Name,Definition,Synonym,Output
hypomyelinating leukodystrophy 2,A hypomyelinating leukodystrophy characterized by autosomal recessive inheritance of nystagmus,PMLD1,hypomyelinating leukodystrophy
hypomyelinating leukodystrophy 10,A hypomyelinating leukodystrophy characterized by autosomal recessive inheritance of progressive postnatal microcephaly,HLD10,hypomyelinating leukodystrophy
hypomyelinating leukodystrophy 4,A hypomyelinating leukodystrophy characterized by autosomal recessive inheritance of hypotonia,Pelizaeus-Merzbacher-like disease due to HSPD1 mutation,hypomyelinating leukodystrophy
hypomyelinating leukodystrophy 3,A hypomyelinating leukodystrophy characterized by autosomal recessive inheritance of early infantile onset of global developmental delay,Pelizaeus-Merzbacher-like disease due to AIMP1 mutation,hypomyelinating leukodystrophy
hypomyelinating leukodystrophy 9,A hypomyelinating leukodystrophy characterized by delayed psychomotor development,RARS-related autosomal recessive hypomyelinating leukodystrophy,hypomyelinating leukodystrophy
hypomyelinating leukodystrophy 11,A hypomyelinating leukodystrophy characterized by autosomal recessive inheritance of delayed psychomotor development and other neurologic features associated with hypomyelination that has_material_basis_in homozygous or compound heterozygous mutation in the POLR1C gene on chromosome 6p21.,HLD11,hypomyelinating leukodystrophy
hypomyelinating leukodystrophy 5,A hypomyelinating leukodystrophy characterized by autosomal recessive inheritance of congenital cataract,hypomyelination-congenital cataract syndrome,hypomyelinating leukodystrophy
hypomyelinating leukodystrophy 7 with or without oligodontia and-or hypogonadotropic hypogonadism,A hypomyelinating leukodystrophy characterized by autosomal recessive inheritance of hildhood onset of progressive motor decline manifest as spasticity,tremor-ataxia-central hypomyelination syndrome,hypomyelinating leukodystrophy
hypomyelinating leukodystrophy 13,A hypomyelinating leukodystrophy characterized by autosomal recessive inheritance of infantile onset of delayed psychomotor development,HLD13,hypomyelinating leukodystrophy
hypomyelinating leukodystrophy 12,A hypomyelinating leukodystrophy characterized by autosomal recessive inheritance of severely delayed or even lack of psychomotor development that becomes apparent in the first months of life,HLD12,hypomyelinating leukodystrophy
hypomyelinating leukodystrophy 8 with or without oligodontia and-or hypogonadotropic hypogonadism,A hypomyelinating leukodystrophy characterized by autosomal recessive inheritance of early childhood onset of cerebellar ataxia,HLD8,hypomyelinating leukodystrophy
hypomyelinating leukodystrophy 6,A hypomyelinating leukodystrophy characterized by infant or early childhood onset of delayed motor development and gait instability,hypomyelination with atrophy of basal ganglia and cerebellum,hypomyelinating leukodystrophy
hypomyelinating leukodystrophy 14,An early infantile epileptic encephalopathy that has_material_basis_in heterozygous mutation in the GABBR2 gene on chromosome 9q22.,Alwadei syndrome,hypomyelinating leukodystrophy
