Name,Definition,Synonym,Output
congenital hypothyroidism,A hypothyroidism that is present at birth.,Peripheral Dysostosis-Nasal Hypoplasia-Mental Retardation,hypothyroidism
obsolete mental disorder,A disorder that is a psychological or behavioral pattern associated with distress or disability that occurs in an individual and is not a part of normal development or culture.,Peripheral Dysostosis-Nasal Hypoplasia-Mental Retardation,hypothyroidism
Bamforth-Lazarus syndrome,A hypothyroidism that is characterized by thyroid dysgenesis,HYPOTHYROIDISM,hypothyroidism
thyroid hormone resistance syndrome,A prolapse of female genital organ that is characterized by a decrease in muscle mass and tissue in the pelvic floor,Thyroid hormone responsiveness defect,hypothyroidism
myxedema,A prolapse of female genital organ that is characterized by a decrease in muscle mass and tissue in the pelvic floor,Thyroid hormone responsiveness defect,hypothyroidism
postsurgical hypothyroidism,A disease that is characterized by abnormally rapid cell division.,Postoperative hypothyroidism,hypothyroidism
iodine hypothyroidism,A cell type benign neoplasm that has_material_basis_in glial-type cells.,Iodine hypothyroidism,hypothyroidism
obsolete transmissible gastroenteritis of swine,A viral infectious disease that results_in inflammation located_in stomach and located_in intestine in pigs,Iodine hypothyroidism,hypothyroidism
obsolete transmissible enteritis of turkeys,A viral infectious disease that results_in inflammation located_in intestine of turkeys,mud fever,hypothyroidism
obsolete feline infectious peritonitis,A viral infectious disease that results_in infection in cats,mud fever,hypothyroidism
