Name,Definition,Synonym,Output
hypotrichosis 14,A hypotrichosis that is characterized by sparse to absent lanugo-like scalp hair,multiple joint dislocations-short stature-craniofacial dysmorphism-congenital heart defects syndrome,hypotrichosis
hypotrichosis 1,A hypotrichosis that has_material_basis_in a autosomal dominant mutation of APCDD1 on chromosome 18p11.22.,Hypt1,hypotrichosis
hypotrichosis 2,A hypotrichosis that has_material_basis_in a autosomal dominant mutation of CDSN on chromosome 6p21.33.,Spanish type hypotrichosis,hypotrichosis
hypotrichosis 3,A hypotrichosis that has_material_basis_in a autosomal dominant mutation of KRT74 on chromosome 12q13.13.,Hypt3,hypotrichosis
hypotrichosis 4,A hypotrichosis that has_material_basis_in a autosomal dominant mutation of HR on chromosome 8p21.3.,Muhh1,hypotrichosis
hypotrichosis 5,A hypotrichosis that has_material_basis_in a mutation on chromosome 1p21.1-q21.3.,Muhh2,hypotrichosis
hypotrichosis 6,A hypotrichosis that has_material_basis_in a autosomal recessive mutation of DSG4 on chromosome 18q12.1.,Monilethrix-like hypotrichosis,hypotrichosis
hypotrichosis 7,A hypotrichosis that has_material_basis_in a autosomal recessive mutation of LIPH on chromosome 3q27.2.,Lah3,hypotrichosis
hypotrichosis 9,A hypotrichosis that has_material_basis_in an autosomal recessive mutation on chromosome 10q11.23-q22.3.,Hypt9,hypotrichosis
hypotrichosis 10,A hypotrichosis that has_material_basis_in an autosomal recessive mutation on chromosome 7p22.3-p21.3.,Hypt10,hypotrichosis
hypotrichosis 11,A hypotrichosis that has_material_basis_in a autosomal dominant mutation of SNRPE on chromosome 1q32.1.,Hypt11,hypotrichosis
hypotrichosis 12,A hypotrichosis that has_material_basis_in a autosomal dominant mutation of RPL21 on chromosome 13q12.2.,Hypt12,hypotrichosis
hypotrichosis 13,A hypotrichosis that has_material_basis_in a autosomal dominant mutation of KRT71 on chromosome 12q13.13.,Hypt13,hypotrichosis
congenital hypotrichosis with juvenile macular dystrophy,A hypotrichosis that has_material_basis_in a autosomal recessive mutation of CDH3 on chromosome 16q22.1.,hypotrichosis with cone-rod dystrophy,hypotrichosis
alopecia,A hypotrichosis that is characterized by a loss of hair from the head or body.,Fructosemia,hypotrichosis
