Name,Definition,Synonym,Output
generalized epilepsy with febrile seizures plus,An idiopathic generalized epilepsy that is characterized by febrile seizures often with accessory afebrile generalized tonic-clonic seizures with childhood onset.,GEFS+,idiopathic generalized epilepsy
obsolete Dravet syndrome,An idiopathic generalized epilepsy that is characterized by febrile seizures often with accessory afebrile generalized tonic-clonic seizures with childhood onset.,GEFS+,idiopathic generalized epilepsy
childhood onset epileptic encephalopathy,An idiopathic generalized epilepsy characterized by onset of multiple seizure types in the first few years of life and associated with poor prognosis. Affected individuals have cognitive regression and intellectual disability.,EEOC,idiopathic generalized epilepsy
idiopathic generalized epilepsy 10,An idiopathic generalized epilepsy that has_material_basis_in variation in the GABRD on chromosome 1p36.33.,EIG10,idiopathic generalized epilepsy
idiopathic generalized epilepsy 11,An idiopathic generalized epilepsy that has_material_basis_in heterozygous mutation in the CLCN2 on chromosome 3q27.1.,EIG11,idiopathic generalized epilepsy
idiopathic generalized epilepsy 12,An idiopathic generalized epilepsy that has_material_basis_in heterozygous mutation in the SLC2A1 on chromosome 1p34.2.,EIG12,idiopathic generalized epilepsy
idiopathic generalized epilepsy 13,An idiopathic generalized epilepsy that has_material_basis_in heterozygous mutation in the GABRA1 on chromosome 5q34.,EIG13,idiopathic generalized epilepsy
idiopathic generalized epilepsy 14,An idiopathic generalized epilepsy that has_material_basis_in heterozygous mutation in the SLC12A5 on chromosome 20q13.12.,EIG14,idiopathic generalized epilepsy
idiopathic generalized epilepsy 15,An idiopathic generalized epilepsy that has_material_basis_in heterozygous mutation in the RORB on chromosome 9q21.13.,EIG15,idiopathic generalized epilepsy
idiopathic generalized epilepsy 2,An idiopathic generalized epilepsy that has_material_basis_in variation in a region on chromosome 14q23.,EIG2,idiopathic generalized epilepsy
idiopathic generalized epilepsy 3,An idiopathic generalized epilepsy that has_material_basis_in variation in a region on chromosome 9q32-q33.,EIG3,idiopathic generalized epilepsy
idiopathic generalized epilepsy 4,An idiopathic generalized epilepsy that has_material_basis_in variation in a region on chromosome 10q25-q26.,EIG4,idiopathic generalized epilepsy
idiopathic generalized epilepsy 5,An idiopathic generalized epilepsy that has_material_basis_in variation in a region on chromosome 10p11.22.,EIG5,idiopathic generalized epilepsy
idiopathic generalized epilepsy 7,An idiopathic generalized epilepsy that has_material_basis_in variation in a region on chromosome 15q14.,EIG7,idiopathic generalized epilepsy
idiopathic generalized epilepsy 8,An idiopathic generalized epilepsy that has_material_basis_in heterozygous mutation in the CASR on chromosome 3q13.3-q21.1.,EIG8,idiopathic generalized epilepsy
idiopathic generalized epilepsy 9,An idiopathic generalized epilepsy that has_material_basis_in heterozygous mutation in the CACNB4 on chromosome 2q23.3.,EIG9,idiopathic generalized epilepsy
