Name,Definition,Synonym,Output
oral cavity carcinoma in situ,An in situ carcinoma of the oral cavity that is located_in the epithelium. It is the most common cause of leukoplakia and associated with the development of squamous cell carcinoma.,Askin tumor,in situ carcinoma
pharynx carcinoma in situ,An in situ carcinoma of the pharynx that is located_in the epithelium. It is associated with the development of squamous cell carcinoma.,Askin tumor,in situ carcinoma
gall bladder carcinoma in situ,An in situ carcinoma located_in the surface epithelium of the gallbladder that most commonly develops into adenocarcinoma.,Askin tumor,in situ carcinoma
bile duct carcinoma in situ,An in situ carcinoma located_in the surface epithelium of the bile duct that most commonly develops into adenocarcinoma.,Askin tumor,in situ carcinoma
bronchus carcinoma in situ,An in situ carcinoma located_in the bronchus that most commonly develops into adenocarcinoma.,Askin tumor,in situ carcinoma
adenocarcinoma in situ,An in situ carcinoma that derives_from epithelial cells of glandular origin.,Combined hepatocellular carcinoma and cholangiocarcinoma (morphologic abnormality),in situ carcinoma
endometrium carcinoma in situ,An in situ carcinoma that is located_in the endometrium.,endometrial carcinoma in situ,in situ carcinoma
nasal cavity carcinoma in situ,An in situ carcinoma that is located_in the nasal cavity.,stage 0 carcinoma of the nasal cavity,in situ carcinoma
prostate carcinoma in situ,An in situ carcinoma that is located_in the prostate.,PIN III,in situ carcinoma
skin carcinoma in situ,A carcinoma in situ that is characterized by the spread of cancer in skin and the lack of invasion of surrounding tissues.,Cutaneous carcinoma in situ,in situ carcinoma
breast carcinoma in situ,An in situ carcinoma that is located_in the breast.,Non-Infiltrating carcinoma of breast,in situ carcinoma
eye carcinoma in situ,A carcinoma in situ that is characterized by the spread of cancer in the eye and the lack of invasion of surrounding tissues.,carcinoma in situ of eye,in situ carcinoma
obsolete Hodgkin's lymphoma,A carcinoma in situ that is characterized by the spread of cancer in the eye and the lack of invasion of surrounding tissues.,Hodgkin's disease,in situ carcinoma
obsolete Hodgkin's granuloma involving spleen,A carcinoma in situ that is characterized by the spread of cancer in the eye and the lack of invasion of surrounding tissues.,Hodgkin's granuloma of spleen (disorder),in situ carcinoma
obsolete Hodgkin's lymphoma,A carcinoma in situ that is characterized by the spread of cancer in the eye and the lack of invasion of surrounding tissues.,Hodgkin's disease,in situ carcinoma
lung carcinoma in situ,An in situ carcinoma that is located_in the lung.,Hodgkin's disease,in situ carcinoma
trachea carcinoma in situ,An in situ carcinoma that is located_in the trachea.,Tracheal carcinoma In situ,in situ carcinoma
obsolete repetitive intrusions of sleep,An in situ carcinoma that is located_in the trachea.,Repetitive intrusions of sleep (disorder),in situ carcinoma
penis carcinoma in situ,An in situ carcinoma that is located_in the penis.,Queyrat's erythroplasia,in situ carcinoma
obsolete Hodgkin's sarcoma involving lymph nodes of multiple sites,An in situ carcinoma that is located_in the penis.,Hodgkin's sarcoma of lymph nodes of multiple sites (disorder),in situ carcinoma
obsolete herpetic vulvovaginitis,A genital herpes that results_in infection located_in vulva and located_in vagina,Herpetic vulvovaginitis (disorder),in situ carcinoma
larynx carcinoma in situ,An in situ carcinoma that is located_in the larynx.,stage 0 carcinoma of the Larynx,in situ carcinoma
obsolete Sezary's disease involving lymph nodes of axilla and upper limb,An in situ carcinoma that is located_in the larynx.,Szary's disease of lymph nodes of axilla and/or upper limb (disorder),in situ carcinoma
obsolete Mycosis fungoides involving spleen,An in situ carcinoma that is located_in the larynx.,Mycosis fungoides of spleen (disorder),in situ carcinoma
obsolete malignant non-epithelial hepatic and intrahepatic bile duct neoplasm,An in situ carcinoma that is located_in the larynx.,Mycosis fungoides of spleen (disorder),in situ carcinoma
obsolete reticulosarcoma involving spleen,An in situ carcinoma that is located_in the larynx.,Reticulosarcoma of spleen (disorder),in situ carcinoma
intestine carcinoma in situ,An in situ carcinoma that is located_in the intestine.,Leukoplakia of esophagus,in situ carcinoma
obsolete Hodgkin's lymphoma,An in situ carcinoma that is located_in the intestine.,Hodgkin's disease,in situ carcinoma
bladder carcinoma in situ,An in situ carcinoma that is located_in the bladder.,Flat CIS of the urinary bladder,in situ carcinoma
obsolete lymphosarcoma involving intrathoracic lymph nodes,An in situ carcinoma that is located_in the bladder.,Flat CIS of the urinary bladder,in situ carcinoma
obsolete Herpes simplex virus gingivostomatitis,A Simplexvirus infectious disease that results_in inflammation located_in mucosa of mouth,primary herpetic gingivostomatitis,in situ carcinoma
anal carcinoma in situ,An in situ carcinoma that is located_in the anus.,carcinoma in situ of anus,in situ carcinoma
esophagus carcinoma in situ,An in situ carcinoma that is located_in the esophagus.,stage 0 carcinoma of the esophagus,in situ carcinoma
uterus carcinoma in situ,An in situ carcinoma that is located_in the uterus.,Mycosis fungoides of intrapelvic lymph nodes (disorder),in situ carcinoma
obsolete mycosis fungoides involving intra-abdominal lymph nodes,An in situ carcinoma that is located_in the uterus.,Mycosis fungoides of intra-abdominal lymph nodes (disorder),in situ carcinoma
liver carcinoma in situ,An in situ carcinoma that is located_in the liver.,carcinoma in situ of liver,in situ carcinoma
stomach carcinoma in situ,An in situ carcinoma that is located_in the stomach.,gastric carcinoma in situ,in situ carcinoma
rectum carcinoma in situ,An in situ carcinoma that is located_in the rectum.,Severe Rectal Dysplasia,in situ carcinoma
kidney carcinoma in situ,An in situ carcinoma that is located_in the kidney.,Vesicular eczema of hands and/or feet,in situ carcinoma
