Name,Definition,Synonym,Output
platelet-type bleeding disorder 16,An inherited blood coagulation disease characterized by autosomal dominant inheritance with macrothrombocytopenia,autosomal dominant thrombasthenia of Glanzmann and Naegeli,inherited blood coagulation disease
platelet-type bleeding disorder 8,An inherited blood coagulation disease characterized by mild to moderate mucocutaneous bleeding and absence of adenosine phosphate induced platelet aggregation that has_material_basis_in homozygous or compound heterozygous mutation in the P2RY12 gene on chromosome 3q.,P2Y12 defect,inherited blood coagulation disease
gray platelet syndrome,An inherited blood coagulation disease characterized by selective deficiency in the number and contents of platelet alpha-granules,platelet-type bleeding disorder 4,inherited blood coagulation disease
platelet-type bleeding disorder 9,An inherited blood coagulation disease characterized by autosomal dominant inheritance of mild thrombocytopenia,GP Ia deficiency,inherited blood coagulation disease
platelet-type bleeding disorder 10,An inherited blood coagulation disease characterized by autosomal recessive inheritance of variable bleeding tendency,platelet glycoprotein IV deficiency,inherited blood coagulation disease
platelet-type bleeding disorder 14,An inherited blood coagulation disease characterized by autosomal dominant inheritance of defective platelet aggegation,thromboxane synthase deficiency,inherited blood coagulation disease
platelet-type bleeding disorder 19,An inherited blood coagulation disease characterized by autosomal recessive inheritance of epistaxis,severe autosomal recessive macrothrombocytopenia,inherited blood coagulation disease
platelet-type bleeding disorder 17,An inherited blood coagulation disease characterized by autosomal dominant inheritance of increased bleeding tendency,hereditary thrombasthenia-thrombocytopenia,inherited blood coagulation disease
Quebec platelet disorder,An inherited blood coagulation disease characterized by autosomal dominant inheritance of delayed onset bleeding after challenge,platelet-type bleeding disorder 5,inherited blood coagulation disease
platelet-type bleeding disorder 18,An inherited blood coagulation disease characterized by autosomal recessive inheritance of mucocutaneous bleeding,bleeding disorder due to CalDAG-GEFI deficiency,inherited blood coagulation disease
Scott syndrome,An inherited blood coagulation disease characterized by autosomal recessive inheritance of hemorrhagic episodes due to impaired platelet coagulant activity that has material_basis_in homozygous mutation in the TMEM16F gene on chromosome 12q12.,SCTS,inherited blood coagulation disease
platelet-type bleeding disorder 15,An inherited blood coagulation disease characterized by autosomal dominant inheritance of macrothrombocytopenia with little or no bleeding tendency and normal in vitro platelet function that has_material_basis_in heterozygous mutation in the ACTN1 gene on chromosome 14q.,BDPLT15,inherited blood coagulation disease
platelet-type bleeding disorder 20,An inherited blood coagulation disease characterized by autosomal dominant inheritance of increased bleeding tendency,BDPLT20,inherited blood coagulation disease
platelet-type bleeding disorder 3,A inherited blood coagulation disease characterized by enhanced binding of von Willebrand factor by the platelet glycoprotein Ib receptor complex that has_material_basis_in mutation in the GP1BA gene on chromosome 17p13.2.,von Willebrand disease platelet-type,inherited blood coagulation disease
platelet-type bleeding disorder 11,An inherited blood coagulation disease characterized by autosomal recessive inheritance of mild to moderate bleeding and defective platelet activation and aggregation in response to collagen that has_material_basis_in compound heterozygous mutation in the GP6 gene on chromosome 19q13.,GP VI deficiency,inherited blood coagulation disease
platelet-type bleeding disorder 12,An inherited blood coagulation disease characterized by autosomal dominant inheritance of mildly increased bleeding,platelet prostaglandin-endoperoxide synthase 1 deficiency,inherited blood coagulation disease
hemophilia B,An inherited blood coagulation disease that has_material_basis_in Factor IX deficiency,factor IX deficiency,inherited blood coagulation disease
von Willebrand's disease,A coagulation protein disease that is a hereditary abnormality which slows the blood clotting process. It arises from a qualitative or quantitative deficiency of von Willebrand factor (vWF),von Willebrand-Jrgens disease,inherited blood coagulation disease
factor XIII deficiency,An inherited blood coagulation disease that is characterized by easy bleeding,Hereditary factor XIII deficiency disease,inherited blood coagulation disease
factor VII deficiency,An inherited blood coagulation disease that is characterized by easy bleeding,Factor VII deficiency,inherited blood coagulation disease
factor V deficiency,An inherited blood coagulation disease that is characterized by easy bleeding,Proaccelerin deficiency,inherited blood coagulation disease
Bernard-Soulier syndrome,An inherited blood coagulation disease characterized by autosomal recessive inheritance of mucosal bleeding,Thrombopathy,inherited blood coagulation disease
factor X deficiency,An otitis externa involving infection of the tissue surrounding the cartilage of the earlobe (pinna),Factor X deficiency,inherited blood coagulation disease
congenital afibrinogenemia,An autosomal recessive disease that is characterized by bleeding symptoms due to low levels of circulating prothrombin,Fibrinogen deficiency,inherited blood coagulation disease
antithrombin III deficiency,An inherited blood coagulation disease characterized by the tendency to form clots in the veins.,hereditary thrombophilia due to congenital antithrombin deficiency,inherited blood coagulation disease
protein C deficiency,An inherited blood coagulation disease characterized by the tendency to form clots in the veins.,hereditary thrombophilia due to congenital antithrombin deficiency,inherited blood coagulation disease
obsolete Fusobacterium infectious disease,An inherited blood coagulation disease characterized by the tendency to form clots in the veins.,hereditary thrombophilia due to congenital antithrombin deficiency,inherited blood coagulation disease
