Name,Definition,Synonym,Output
pneumoconiosis,An interstitial lung disease that is caused by the inhalation of dust.,Mumps pancreatitis (disorder),interstitial lung disease
bronchiolitis obliterans,A obstructive lung disease involving obstruction of the bronchioles due to inflammation and fibrosis which occurs as a complication of various lung conditions or physiological insults.,Obliterative bronchiolitis,interstitial lung disease
pulmonary fibrosis,An interstitial lung disease that is characterized by destruction,Fibrosis of lung,interstitial lung disease
extrinsic allergic alveolitis,An interstitial lung disease involving inflammation of alveoli and smallest airways (bronchioles) of the lung caused by an allergic reaction to inhaled organic dusts containing microorganisms or proteins,hypersensitivity pneumonitis,interstitial lung disease
rheumatoid arthritis interstitial lung disease,An interstitial lung disease that is characterized by the development of pleuroparenchymal disease secondary to rheumatoid arthritis,Rheumatoid lung,interstitial lung disease
obsolete primary hypotonic uterine dysfunction,An interstitial lung disease that is characterized by the development of pleuroparenchymal disease secondary to rheumatoid arthritis,primary uterine inertia,interstitial lung disease
obsolete Prolonged first stage of labor,An interstitial lung disease that is characterized by the development of pleuroparenchymal disease secondary to rheumatoid arthritis,primary uterine inertia,interstitial lung disease
obsolete abnormality of forces of labor,An interstitial lung disease that is characterized by the development of pleuroparenchymal disease secondary to rheumatoid arthritis,primary uterine inertia,interstitial lung disease
obsolete dystocia,An interstitial lung disease that is characterized by the development of pleuroparenchymal disease secondary to rheumatoid arthritis,primary uterine inertia,interstitial lung disease
obsolete prolonged labor,An interstitial lung disease that is characterized by the development of pleuroparenchymal disease secondary to rheumatoid arthritis,primary uterine inertia,interstitial lung disease
