Name,Definition,Synonym,Output
colorectal adenoma,An intestinal benign neoplasm that has_material_basis_in epithelial tissue of glandular origin and is located_in colon and located_in rectum.,obstructive sleep apnea syndrome,intestinal benign neoplasm
large intestine adenoma,An intestinal benign neoplasm that has_material_basis_in epithelial tissue with glandular origin and is located_in the large intestine.,appendix carcinoid endocrine tumour,intestinal benign neoplasm
appendiceal neoplasm,A intestinal cancer that is located_in the appendix.,neoplasm of appendix,intestinal benign neoplasm
cecal benign neoplasm,An intestinal benign neoplasm that is located_in the cecum.,neoplasm of caecum,intestinal benign neoplasm
rectal neoplasm,A (-)ssRNA virus infectious disease that results_in infection in humans,rectum neoplasm,intestinal benign neoplasm
obsolete perinatal disease,A (-)ssRNA virus infectious disease that results_in infection in humans,rectum neoplasm,intestinal benign neoplasm
obsolete fetal disease,A (-)ssRNA virus infectious disease that results_in infection in humans,fetus disorder,intestinal benign neoplasm
intestinal neuroendocrine benign tumor,A vaginal carcinosarcoma derives_from the glands that line the uterus.,neuroendocrine tumor of Intestine,intestinal benign neoplasm
obsolete atypical Mycobacterium infectious disease,A vaginal carcinosarcoma derives_from the glands that line the uterus.,Mycobacterial infection,intestinal benign neoplasm
obsolete West Nile virus infectious disease,A Flavivirus infectious disease that results_in infection in animals and humans,Mycobacterial infection,intestinal benign neoplasm
anus benign neoplasm,A chondrosarcoma that is located_in exclusively soft tissue.,neoplasm of anus,intestinal benign neoplasm
large bowel leiomyoma,An intestinal benign neoplasm that derives_from smooth muscle cells and  that is located_in the large bowel.,leiomyoma of large Intestine,intestinal benign neoplasm
large intestine lipoma,An intestinal benign neoplasm that derives_from fat cells and that is located_in the large intestine.,Lipoma of large Intestine,intestinal benign neoplasm
obsolete bone recurrent Ewing's sarcoma,An intestinal benign neoplasm that derives_from fat cells and that is located_in the large intestine.,Lipoma of large Intestine,intestinal benign neoplasm
small intestine benign neoplasm,An extrahepatic bile duct adenoma that is located_in the extrahepatic bile duct.,small intestinal neoplasm,intestinal benign neoplasm
