Name,Definition,Synonym,Output
inflammatory bowel disease,An intestinal disease characterized by inflammation located_in all parts of digestive tract.,CMD due to dystroglycanopathy,intestinal disease
intestinal schistosomiasis,A schistosomiasis that involves parasitic infection of the intestine caused by Schistosoma mansoni,schistosomiasis japonica,intestinal disease
inguinal hernia,An intestinal disease characterized by a protrusion of abdominal cavity contests through the inguinal canal.,circulatory arrest,intestinal disease
umbilical hernia,A intestinal disease characterized by the protrusion by part of the intestine though an opening in the abdominal muscles.,circulatory arrest,intestinal disease
sitosterolemia,An intestinal disease that is characterized by autosomal recessive inheritance of unrestricted intestinal absorption of both cholesterol and plant-derived cholesterol-like molecules resulting in xanthomas,phytosterolemia,intestinal disease
intestinal infectious disease,An intestinal disease that involves intestinal infection that has_material_basis_in viruses,bacterial enteritis,intestinal disease
obsolete visual cortex disorder due to neoplasm,An intestinal disease that involves intestinal infection that has_material_basis_in viruses,bacterial enteritis,intestinal disease
intestinal cancer,A gastrointestinal system cancer that is located_in the intestine.,malignant neoplasm of intestine,intestinal disease
intestinal atresia,A muscular disease that is located_in the diaphragm.,Oesophageal atresia,intestinal disease
steatorrhea,A tic disorder that is characterized by single or multiple motor or phonic tics,Fatty stool,intestinal disease
short bowel syndrome,A tic disorder that is characterized by single or multiple motor or phonic tics,short gut syndrome,intestinal disease
blind loop syndrome,An intestinal disease characterized by a dysbalance of the bacterial flora of the small intestine,Blind loop syndrome,intestinal disease
tropical sprue,An intestinal disease characterized by a dysbalance of the bacterial flora of the small intestine,Tropical steatorrhea,intestinal disease
protein-losing enteropathy,A bone remodeling disease that has_material_basis_in impaired mineralization or calcification of bones before epiphyseal closure due to deficiency or impaired metabolism of vitamin D,Protein-losing enteropathy,intestinal disease
angiodysplasia of intestine,A viral infectious disease that results_in inflammation located_in brain,Neuroinvasive St. Louis encephalitis virus infection,intestinal disease
obsolete intrauterine hypoxia and birth asphyxia,A viral infectious disease that results_in inflammation located_in brain,Neuroinvasive St. Louis encephalitis virus infection,intestinal disease
endometriosis of intestine,A female reproductive system disease characterized by the growth of endometrial tissue that is located_in the intestine.,Endometriosis of fallopian tube,intestinal disease
rectal disease,An autism spectrum disorder that is characterized by symptoms across all three symptom domains (communication,Kanner's syndrome,intestinal disease
obsolete adhesions of drum head to incus,An autism spectrum disorder that is characterized by symptoms across all three symptom domains (communication,Kanner's syndrome,intestinal disease
obsolete adhesions of drum head to promontorium,An autism spectrum disorder that is characterized by symptoms across all three symptom domains (communication,Kanner's syndrome,intestinal disease
obsolete adhesions of drum head to stapes,An autism spectrum disorder that is characterized by symptoms across all three symptom domains (communication,Kanner's syndrome,intestinal disease
mucocele of appendix,A vasculitis that is characterized by an autoimmune mediated inflammation of the blood vessels throughout the body leading to ulcerations on the mouth and sometimes the genitals,Mucocele of appendix,intestinal disease
pneumatosis cystoides intestinalis,A vasculitis that is characterized by an autoimmune mediated inflammation of the blood vessels throughout the body leading to ulcerations on the mouth and sometimes the genitals,Pneumatosis cystoides intestinalis,intestinal disease
