Name,Definition,Synonym,Output
clear cell variant infiltrating bladder urothelial carcinoma,A Polyomaviridae infectious disease that results_in infection in animals and humans,pediatric testicular Teratocarcinoma,invasive bladder transitional cell carcinoma
micropapillary variant infiltrating bladder urothelial carcinoma,An acute inflammation of lacrimal passage that is characterized by inflammation of the lacrimal caniculi,urothelial papillary carcinoma of the bladder,invasive bladder transitional cell carcinoma
infiltrating bladder urothelial carcinoma sarcomatoid variant,A primary bacterial infectious disease that is a sexually transmitted infection,Infiltrating bladder Urothelial carcinoma,invasive bladder transitional cell carcinoma
obsolete Paget's disease and intraductal carcinoma of breast,A primary bacterial infectious disease that is a sexually transmitted infection,Paget's disease of the breast with Intraductal carcinoma,invasive bladder transitional cell carcinoma
obsolete HIV leukoencephalopathy,A HIV encephalopathy that results_in inflammation located_in white matter of neuraxis,Human immunodefiency virus leukoencephalopathy (disorder),invasive bladder transitional cell carcinoma
infiltrating bladder lymphoepithelioma-like carcinoma,A gastrointestinal system disease that is located_in the stomach.,stomach disorder,invasive bladder transitional cell carcinoma
obsolete advanced malignant pleural mesothelioma,A gastrointestinal system disease that is located_in the stomach.,Advanced malignant Mesothelioma of Pleura,invasive bladder transitional cell carcinoma
lipid-cell variant infiltrating bladder urothelial carcinoma,An endometrial disease that is caused by tamoxifen exposure.,malignant eccrine spiradenoma,invasive bladder transitional cell carcinoma
plasmacytoid variant infiltrating bladder urothelial carcinoma,An endometrial disease that is caused by tamoxifen exposure.,malignant eccrine spiradenoma,invasive bladder transitional cell carcinoma
nested variant infiltrating bladder urothelial carcinoma,An endometrial disease that is caused by tamoxifen exposure.,malignant eccrine spiradenoma,invasive bladder transitional cell carcinoma
microcystic variant infiltrating bladder urothelial carcinoma,An endometrial disease that is caused by tamoxifen exposure.,malignant eccrine spiradenoma,invasive bladder transitional cell carcinoma
lymphoma-like variant infiltrating bladder urothelial carcinoma,An endometrial disease that is caused by tamoxifen exposure.,malignant eccrine spiradenoma,invasive bladder transitional cell carcinoma
obsolete helicobacter pylori-related gastric adenocarcinoma,An endometrial disease that is caused by tamoxifen exposure.,malignant eccrine spiradenoma,invasive bladder transitional cell carcinoma
