Name,Definition,Synonym,Output
herpes simplex virus keratitis,A keratitis that has_material_basis_in herpes simplex type infection.,dendritic keratitis,keratitis
corneal neovascularization,A parasitic helminthiasis infectious disease that involves parasitic infection due to migrating immature worms of Gnathostoma spinigerum or Gnathostoma hispidum,Spinal meningioma,keratitis
macular keratitis,A leprosy that is an early form of the disease which causes one to a few hypopigmented or erythematous macules.,PICK DISEASE OF BRAIN,keratitis
obsolete Staphylococcus aureus septicemia,A leprosy that is an early form of the disease which causes one to a few hypopigmented or erythematous macules.,Septicemia due to Staphylococcus aureus (disorder),keratitis
obsolete staphylococcal septicemia,A leprosy that is an early form of the disease which causes one to a few hypopigmented or erythematous macules.,Septicemia due to Staphylococcus aureus (disorder),keratitis
superficial keratitis,A parasitic helminthiasis infectious disease that involves parasitic infection of the bile ducts of the liver by Dicrocoelium dendriticum. The symptoms include cholecystitis,malignant tumor of sigmoid colon,keratitis
photokeratitis,A staphylococcal infectious disease that involves infection of the intestine caused by staphylococci,Staphylococcal enterocolitis (disorder),keratitis
filamentary keratitis,A brain disease that is characterized by Dejerine-Roussy syndrome that develops from thalamic injury.,total allergy syndrome,keratitis
obsolete superficial keratitis without conjunctivitis,A brain disease that is characterized by Dejerine-Roussy syndrome that develops from thalamic injury.,total allergy syndrome,keratitis
obsolete kyphosis,A bone structure disease that has_material_basis_in an abnormal curvature located_in vertebral column.,Kyphosis deformity of spine,keratitis
obsolete congenital kyphosis,A kyphosis that results_in abnormal formation located_in body of vertebra.,Kyphosis deformity of spine,keratitis
corneal ulcer,A syndrome that is characterized by absence or underdeveloped tissue connecting the left and right halves of the brain,vitamin B12 deficiency,keratitis
gonococcal keratitis,An acute myocarditis that is characterized by an underlying toxin insult to the myocardium that induces acute inflammation.,Yellow fever,keratitis
deep keratitis,A connective tissue disease characterized by corneal scarring that develops from non-suppurative inflammation located_in the corneal stroma,Oro-facial dyskinesia,keratitis
