Name,Definition,Synonym,Output
phlyctenulosis,A peripheral nervous system disease that involves an acute loss of function of the lumbar plexus,Strumous ophthalmia,keratoconjunctivitis
obsolete syphilitic aortitis,A peripheral nervous system disease that involves an acute loss of function of the lumbar plexus,Syphilitic aortitis (disorder),keratoconjunctivitis
obsolete acute schizophrenic episode in remission,A peripheral nervous system disease that involves an acute loss of function of the lumbar plexus,Syphilitic aortitis (disorder),keratoconjunctivitis
neurotrophic keratoconjunctivitis,A lung disease that is characterized by abnormal accumulation of surfactant occurs within the alveoli,Postinflammatory pulmonary fibrosis,keratoconjunctivitis
punctate epithelial keratoconjunctivitis,A parasitic helminthiasis infectious disease that involves parasitic infection of the bile ducts of the liver by Dicrocoelium dendriticum. The symptoms include cholecystitis,Thygeson's superficial punctate keratitis,keratoconjunctivitis
obsolete abdominal cancer,A cancer by anatomical entitiy that affects the organs in the abdominal cavity.,abdomen neoplasm,keratoconjunctivitis
obsolete catatonic schizophrenia in remission,A cancer by anatomical entitiy that affects the organs in the abdominal cavity.,Catatonic type schizophrenia,keratoconjunctivitis
shipyard eye,A viral infectious disease that results_in infection,Epidemic keratoconjunctivitis,keratoconjunctivitis
obsolete cryptococcal gastroenteritis,A cryptococcosis that results_in inflammation located_in stomach and located_in intestine,Cryptococcal gastroenteritis (disorder),keratoconjunctivitis
obsolete pulmonary cryptococcosis,A cryptococcosis that results_in inflammation located_in lungs,Cryptococcal Pneumonia,keratoconjunctivitis
obsolete AIDS-related cryptococcosis,A cryptococcosis that is_a disease associated with AIDS has_material_basis_in Cryptococcus neoformans which results_in a systemic infection in individuals with HIV.,Cryptococcal Pneumonia,keratoconjunctivitis
obsolete sickle cell trait,A cryptococcosis that is_a disease associated with AIDS has_material_basis_in Cryptococcus neoformans which results_in a systemic infection in individuals with HIV.,Sickle-cell trait,keratoconjunctivitis
exposure keratitis,A uterine cancer that is located_in the uterine corpus.,lagophthalmic keratitis,keratoconjunctivitis
