Name,Definition,Synonym,Output
renal fibrosis,A kidney disease that is characterized by progressive detrimental connective tissue deposition of the kidney parenchyma leading to deterioration of renal function.,obstructive sleep apnea syndrome,kidney disease
familial juvenile hyperuricemic nephropathy,A kidney disease that is characterized by hyperuricemia with renal uric acid under-excretion,cutaneous T-cell lymphoma,kidney disease
obstructive nephropathy,A kidney disease characterized by kidney damage and dysfunction resulting from urinary tract obstruction.,congenital obstructive nephropathy,kidney disease
renal hypoplasia,A kidney disease that is characterized by abnormally small kidneys with normal morphology and reduced number of nephrons.,Peters-plus syndrome,kidney disease
renal hypertension,A parasitic protozoa infectious disease that involves infection of the small intestine by a single-celled enteric protozoan parasite Giardia intestinalis. The symptoms include greasy and malodorous stools,Infection by Giardia lamblia,kidney disease
obsolete nodular lung tuberculosis,A pulmonary tuberculosis presenting as multiple bilateral large nodules in the lungs.,Infection by Giardia lamblia,kidney disease
kidney failure,A kidney disease characterized by the failure of the kidneys to adequately filter waste products from the blood.,renal failure,kidney disease
nephritis,A kidney disease that is characterized by an inflammation of the kidneys.,brain aneurysm,kidney disease
impaired renal function disease,A selective immunoglobulin deficiency disease that is caused by a reduction in some types of gamma globulins.,Dysgammaglobulinemia,kidney disease
secondary hyperparathyroidism of renal origin,An anemia that is characterized by a reduction in the number of red blood cells,hyperparathyroidism due to renal insufficiency,kidney disease
hemolytic-uremic syndrome,A kidney disease that is characterized by hemolytic anemia,hemolytic uremic syndrome,kidney disease
obsolete acute renal failure with lesion of renal cortical necrosis,A kidney disease that is characterized by hemolytic anemia,hemolytic uremic syndrome,kidney disease
nephrocalcinosis,A primary systemic mycosis that results_in a systemic fungal infection,Fusion with defective stereopsis (disorder),kidney disease
atheroembolism of kidney,A thyroid gland disease which involves an underproduction of thyroid hormone.,Thyroid insufficiency,kidney disease
renal agenesis,A renal disease that is characterized by the failure of one or both kidneys to develop.,renal aplasia,kidney disease
kidney cancer,A urinary system cancer that is located_in the kidney.,renal cancer,kidney disease
obsolete papillary cystadenoma,A urinary system cancer that is located_in the kidney.,Papillary cystadenoma NOS (morphologic abnormality),kidney disease
obsolete serous cystadenoma,A urinary system cancer that is located_in the kidney.,serous microcystic adenoma,kidney disease
pyelitis,An inherited metabolic disorder that involves elevated levels of bilirubin resulting from disruption of bilirubin metabolism.,ear and mastoid disease,kidney disease
kidney cortex necrosis,An autosomal recessive disease that has_material_basis_in rare mutations in two DNA excision repair proteins,renal cortical necrosis,kidney disease
obsolete multicystic dysplastic kidney,An autosomal recessive disease that has_material_basis_in rare mutations in two DNA excision repair proteins,Multicystic kidney (disorder),kidney disease
cystic kidney disease,An autosomal recessive disease that has_material_basis_in rare mutations in two DNA excision repair proteins,renal Cyst,kidney disease
obsolete glomerular vascular disorder,An autosomal recessive disease that has_material_basis_in rare mutations in two DNA excision repair proteins,renal Cyst,kidney disease
kidney papillary necrosis,A lacrimal gland carcinoma that derives_from epithelial cells of glandular origin.,renal PAPILLITIS NECROTIZING,kidney disease
perinephritis,A lacrimal gland carcinoma that derives_from epithelial cells of glandular origin.,renal PAPILLITIS NECROTIZING,kidney disease
anuria,A lacrimal gland carcinoma that derives_from epithelial cells of glandular origin.,Suppression of urinary secretion,kidney disease
obsolete chronic rejection of renal transplant,A lacrimal gland carcinoma that derives_from epithelial cells of glandular origin.,chronic rejection of renal transplant (disorder),kidney disease
stricture or kinking of ureter,A fibrosarcoma that is located_in the dermis laryer of the skin and that begins as a hard nodule and grows slowly.,Signet Ring cell carcinoma of prostate,kidney disease
renal tubular transport disease,An adenocarcinoma that derives_from epithelial cells which have clear cytoplasm.,inborn renal tubular transport disorder,kidney disease
proteinuria,A kidney disease that is characterized by the presence of excess proteins in the urine.,Sebaceous neoplasm,kidney disease
acute urate nephropathy,A hematologic cancer and central nervous system neoplasm that is located_in the central nervous system.,Uric acid urolithiasis,kidney disease
obsolete hepatoblastoma with combined fetal epithelial differentiation,A hematologic cancer and central nervous system neoplasm that is located_in the central nervous system.,Uric acid urolithiasis,kidney disease
nephrolithiasis,A coronary artery disease characterized by myocardial cell death (myocardial necrosis) due to prolonged ischaemia.,UROLITHIASIS,kidney disease
renal infectious disease,A Cytomegalovirus infectious disease that results_in infection,Thymoma malignant recurrent,kidney disease
diabetes insipidus,A pituitary gland disease characterized by the decreased secretion of one or more of the eight hormones normally produced by the pituitary gland.,Pituitary insufficiency,kidney disease
orthostatic proteinuria,A primary bacterial infectious disease that results_in infection located_in intestine caused by eating food contaminated with enterotoxins produced by bacteria,Postural albuminuria,kidney disease
kidney hypertrophy,A ureteral disease characterized by backward flow of urine from the urinary bladder into the ureter.,vesico-ureteral reflux,kidney disease
renal tuberculosis,An urogenital tuberculosis that results_in formation of granulomas located_in kidney.,Tuberculosis of kidney,kidney disease
obsolete urinary tuberculosis,An urogenital tuberculosis that results_in formation of granulomas located_in kidney.,Tuberculosis of kidney,kidney disease
