Name,Definition,Synonym,Output
dry eye syndrome,A vein disease that is characterized by impaired flow of blood through the veins.,Tear film insufficiency,lacrimal apparatus disease
lacrimal passage granuloma,An ischemic bone disease that results_in necrosis located_in bone.,Granuloma of lacrimal passages,lacrimal apparatus disease
prolapse of lacrimal gland,A hypersensitivity vasculitis that is characterized by purpura (purplish plaques),Dislocation of lacrimal gland,lacrimal apparatus disease
eversion of lacrimal punctum,A congenital hypoplastic anemia characterized by progressive pancytopenia with bone marrow failure,Unspecified joint disorder of multiple sites,lacrimal apparatus disease
stenosis of lacrimal punctum,A congenital hypoplastic anemia characterized by progressive pancytopenia with bone marrow failure,Unspecified joint disorder of multiple sites,lacrimal apparatus disease
stenosis of lacrimal passage,A congenital hypoplastic anemia characterized by progressive pancytopenia with bone marrow failure,Stenosis of lacrimal canaliculi,lacrimal apparatus disease
acquired tear duct stenosis,A congenital hypoplastic anemia characterized by progressive pancytopenia with bone marrow failure,Tear duct - acquired stenosis,lacrimal apparatus disease
excessive tearing,An African histoplasmosis that results_in inflammation located_in pericardium,Watering eye,lacrimal apparatus disease
obsolete perinatal infectious disease,An African histoplasmosis that results_in inflammation located_in pericardium,Watering eye,lacrimal apparatus disease
lacrimal duct obstruction,An esophagitis characterized by inflammation involving eosinophils located_in esophagus.,Obstruction of lacrimal ducts,lacrimal apparatus disease
primary lacrimal atrophy,A coccidioidomycosis that results_in inflammation located_in meninges,parasitemia,lacrimal apparatus disease
secondary lacrimal atrophy,A calcium metabolism disease that is the result of the formation of calcium deposits in any soft tissue.,Pathologically calcified structure,lacrimal apparatus disease
obsolete petit mal status,A calcium metabolism disease that is the result of the formation of calcium deposits in any soft tissue.,Petit mal status,lacrimal apparatus disease
stenosis of lacrimal sac,A germ cell cancer that is derives_from a mixture of germs cells and embryonal cells.,germ cell and embryonal neoplasm,lacrimal apparatus disease
obsolete stenosis and insufficiency of lacrimal passage,A germ cell cancer that is derives_from a mixture of germs cells and embryonal cells.,Stenosis of lacrimal passages,lacrimal apparatus disease
acute inflammation of lacrimal passage,An acute inflammation of lacrimal passage that is characterized by inflammation of the lacrimal caniculi,acute lacrimal canaliculitis,lacrimal apparatus disease
dacryoadenitis,A hypereosinophilic syndrome characterized by the accumulation of eosinophils in the lungs.,Persistent vitelline duct,lacrimal apparatus disease
chronic inflammation of lacrimal passage,A lacrimal apparatus disease that is characterized by longstanding inflammation of the lacrimal passage,Meningococcal hemorrhagic adrenalitis,lacrimal apparatus disease
