Name,Definition,Synonym,Output
fallopian tube leiomyosarcoma,A fallopian tube cancer that dervies_from smooth muscle cells.,tumor,leiomyosarcoma
obsolete fallopian tube soft tissue neoplasm,A fallopian tube cancer that dervies_from smooth muscle cells.,tumor,leiomyosarcoma
bone leiomyosarcoma,A connective tissue cancer that has_material_basis_in fibrous connective tissue and characterized by the presence of immature proliferating fibroblasts or undifferentiated anaplastic spindle cells in a storiform pattern.,relapsed Osteosarcoma,leiomyosarcoma
inflammatory leiomyosarcoma,A leiomyosarcoma that is characterized by a prominent intristic inflammatory component.,Opisthorchis Viverrini-Related Cholangiocellular carcinoma,leiomyosarcoma
obsolete leiomyosarcoma recurrent,A leiomyosarcoma that is characterized by a prominent intristic inflammatory component.,relapsed leiomyosarcoma,leiomyosarcoma
conventional leiomyosarcoma,A leiomyosarcoma that is not histologically defined as spindle cell leiomyosarcoma,relapsed leiomyosarcoma,leiomyosarcoma
granular cell leiomyosarcoma,A leiomyosarcoma that is characterized by a proliferation of cells containing abundant granular eosinophilic cytoplasm.,Non-metastatic leiomyosarcoma,leiomyosarcoma
colon leiomyosarcoma,A leiomyosarcoma and sarcoma of colon that is located_in the colon.,Colonic leiomyosarcoma,leiomyosarcoma
ovary leiomyosarcoma,An ovary sarcoma that arises from smooth muscle progenitors.,leiomyosarcoma of Ovary,leiomyosarcoma
epithelioid leiomyosarcoma,A leiomyosarcoma that is composed predominantly or entirely of round or polygonal cells with eosinophilic,leiomyosarcoma of Ovary,leiomyosarcoma
lung leiomyosarcoma,A leiomyosarcoma and sarcoma of lung that is located_in the lung.,pulmonary leiomyosarcoma,leiomyosarcoma
obsolete leiomyosarcoma metastatic,A leiomyosarcoma and sarcoma of lung that is located_in the lung.,pulmonary leiomyosarcoma,leiomyosarcoma
anus leiomyosarcoma,A leiomyosarcoma and sarcoma of the anus that is located_in the anus.,leiomyosarcoma of anus,leiomyosarcoma
myxoid leiomyosarcoma,A leiomyosarcoma that is characterized by abundant myxoid stroma.,Myxoid leiomyosarcoma,leiomyosarcoma
small intestine leiomyosarcoma,A small intestine sarcoma that affects the involuntary smooth muscles of the small intestines.,smooth muscle connective tissue tumor,leiomyosarcoma
gallbladder leiomyosarcoma,A gallbladder sarcoma that is located_in the soft tissues of the gallbladder.,leiomyosarcoma of the gallbladder,leiomyosarcoma
larynx leiomyosarcoma,A larynx sarcoma that is a smooth muscle connective tissue tymor  located_in the larynx.,leiomyosarcoma of Larynx,leiomyosarcoma
mediastinum leiomyosarcoma,A leiomyosarcoma and sarcoma of the mediastinum that derive_from smooth muscle and are usually located_in the esophagus or located_in the main vessels.,leiomyosarcoma of mediastinum,leiomyosarcoma
pulmonary artery leiomyosarcoma,A leiomyosarcoma that is located_in the pulmonary artery.,leiomyosarcoma of the pulmonary artery,leiomyosarcoma
obsolete metastasis to the urethra,A leiomyosarcoma that is located_in the pulmonary artery.,secondary malignant neoplasm of urethra (disorder),leiomyosarcoma
