Name,Definition,Synonym,Output
chronic leukemia,A leukemia that develops slowly.,CML,leukemia
lymphocytic leukemia,A leukemia that has_material_basis_in lymphoblasts (immature white blood cells).,lymphoblastic leukemia,leukemia
chronic erythremia,A leprosy that is an early form of the disease which causes one to a few hypopigmented or erythematous macules.,Monocular exotropia with V pattern (disorder),leukemia
acute leukemia,A leukemia that occurs when a hematopoietic stem cell undergoes malignant transformation into a primitive,Stem cell Leukemia,leukemia
obsolete secondary malignant neoplasm of suprarenal gland,A leukemia that occurs when a hematopoietic stem cell undergoes malignant transformation into a primitive,secondary malignant neoplasm of adrenal gland (disorder),leukemia
obsolete metastasis to adrenals,A leukemia that occurs when a hematopoietic stem cell undergoes malignant transformation into a primitive,metastatic tumor to the Adrenals,leukemia
obsolete staphylococcal pneumonia,A staphylococcal infectious disease that is caused due to the infection by Gram-positive bacterium Staphylococcus aureus,Staphylococcus aureus pneumonia,leukemia
obsolete AIDS-related pelvic inflammatory disease,A staphylococcal infectious disease that is caused due to the infection by Gram-positive bacterium Staphylococcus aureus,Staphylococcus aureus pneumonia,leukemia
obsolete adrenal hemorrhage of fetus or newborn,A staphylococcal infectious disease that is caused due to the infection by Gram-positive bacterium Staphylococcus aureus,Staphylococcus aureus pneumonia,leukemia
obsolete gastrointestinal hemorrhage of fetus or newborn,A staphylococcal infectious disease that is caused due to the infection by Gram-positive bacterium Staphylococcus aureus,Staphylococcus aureus pneumonia,leukemia
obsolete cervicofacial actinomycosis,An actinomycosis that involves invasion and infiltration located_in head and located_in neck,Lumpy jaw,leukemia
obsolete cerebral actinomycosis,An actinomycosis that involves invasion and infiltration located_in brain,Lumpy jaw,leukemia
subleukemic leukemia,A leukemia that is characterized by the presence of abnormal white blood cells located_in peripheral blood,Poland's syndactyly,leukemia
subacute leukemia,A leukemia that is in between acute and chronic leukemia and is characterized by a moderate duration or severity.,PIEBALD TRAIT,leukemia
aleukemic leukemia,A leukemia that arises from changes in the tissues forming white blood cells and characterized by a normal or decreased number of white blood cells in the circulating blood.,aleukemic myelosis,leukemia
obsolete mediastinum embryonal carcinoma,A leukemia that arises from changes in the tissues forming white blood cells and characterized by a normal or decreased number of white blood cells in the circulating blood.,embryonal carcinoma of the mediastinum,leukemia
obsolete mediastinal germ cell cancer,A leukemia that arises from changes in the tissues forming white blood cells and characterized by a normal or decreased number of white blood cells in the circulating blood.,mediastinal germ cell neoplasm,leukemia
childhood leukemia,A leukemia that occurs in children.,Neonatal Leukemia,leukemia
myeloid leukemia,A leukemia that is located_in myeloid tissue.,Non-Lymphocytic Leukemia,leukemia
megakaryocytic leukemia,A leukemia that derives from blood-forming tissue in which megakaryocytes proliferate in the bone marrow and circulate in the blood in large numbers.,Thrombocytic leukaemia,leukemia
obsolete Herpes simplex virus otitis externa,A Simplexvirus infectious disease that results_in inflammation located_in external ear,Herpes simplex otitis externa (disorder),leukemia
obsolete Herpes simplex virus septicemia,A Simplexvirus infectious disease that results in inflammatory response by the immune system of the body to Human herpesvirus 1 or Human herpesvirus 2 in the blood,visceral herpes simplex,leukemia
obsolete lymphosarcoma involving intra-abdominal lymph nodes,A Simplexvirus infectious disease that results in inflammatory response by the immune system of the body to Human herpesvirus 1 or Human herpesvirus 2 in the blood,visceral herpes simplex,leukemia
obsolete malignant histiocytosis involving lymph nodes of axilla and upper limb,A Simplexvirus infectious disease that results in inflammatory response by the immune system of the body to Human herpesvirus 1 or Human herpesvirus 2 in the blood,visceral herpes simplex,leukemia
obsolete nodular lymphoma involving spleen,A Simplexvirus infectious disease that results in inflammatory response by the immune system of the body to Human herpesvirus 1 or Human herpesvirus 2 in the blood,visceral herpes simplex,leukemia
obsolete malignant histiocytosis involving lymph nodes of inguinal region and lower limb,A Simplexvirus infectious disease that results in inflammatory response by the immune system of the body to Human herpesvirus 1 or Human herpesvirus 2 in the blood,malignant histiocytosis of lymph nodes of inguinal region and/or lower limb (disorder),leukemia
obsolete reticulosarcoma involving intra-abdominal lymph nodes,A Simplexvirus infectious disease that results in inflammatory response by the immune system of the body to Human herpesvirus 1 or Human herpesvirus 2 in the blood,Reticulosarcoma of intra-abdominal lymph nodes (disorder),leukemia
