Name,Definition,Synonym,Output
hereditary neutrophilia,A leukocyte disease characterized by autosomal dominant inheritance of lifelong,Hay-Wells syndrome,leukocyte disease
obsolete apparent mineralocorticoid excess,An adrenal gland hyperfunction characterized by decreased conversion of biologically active cortisol to inactive cortisone resulting in low aldosterone levels,Ulick syndrome,leukocyte disease
natural killer cell leukemia,A breast cyst that is characterized by single,large granular Lymphocyte Leukemia,leukocyte disease
leukostasis,A malaria that is caused by the protozoan parasite Plasmodium vivax,Leukostasis,leukocyte disease
dendritic cell thymoma,An immune system cancer located_in the thymus.,epithelioid Thymoma,leukocyte disease
mastocytosis,A pancreatic adenocarcinoma that derives_from pancreatic duct cells.,mast cell hyperplasia,leukocyte disease
basophil adenoma,An agnosia that involves a severe problem with recalling words or names.,Pituitary gland Basophilic adenoma,leukocyte disease
acidophil adenoma,An adenoma that is composed_of cells with a clear cytoplasm located_in ovary.,Eosinophil adenoma,leukocyte disease
leukopenia,A leukocyte disorder that is a decrease in the number of white blood cells (leukocytes) found in the blood,Leucopenia,leukocyte disease
obsolete Deltaretrovirus infectious disease,A Retroviridae infectious disease that results_in infection in animals and humans,Leucopenia,leukocyte disease
leukocyte adhesion deficiency,A combined T cell and B cell immunodeficiency that is characterized by defects affecting how white blood cells respond and travel to the site of a wound or infection affecting the immune system.,Congenital leukocyte adherence deficiency,leukocyte disease
B-cell lymphoma,A non-Hodgkin lymphoma that has_material_basis_in B cells.,B-cell lymphocytic neoplasm,leukocyte disease
obsolete recurrent pediatric rhabdomyosarcoma,A non-Hodgkin lymphoma that has_material_basis_in B cells.,relapsed pediatric Rhabdomyosarcoma,leukocyte disease
Langerhans cell sarcoma,A histiocytic and dendritic cell cancer that derives from the lymph nodes,solid pseudopapillary tumour,leukocyte disease
T-cell leukemia,An arthritis that is an autoimmune disease which attacks healthy cells and tissue located_in joint.,metastatic Parathyroid carcinoma,leukocyte disease
obsolete recurrent parathyroid cancer,An arthritis that is an autoimmune disease which attacks healthy cells and tissue located_in joint.,recurrent Parathyroid carcinoma,leukocyte disease
multiple myeloma,A myeloid neoplasm that is located in the plasma cells in bone marrow.,plasma cell myeloma,leukocyte disease
hypereosinophilic syndrome,A tertiary syphilis that results in infection located in brain or located in spinal cord.,Eosinophilic leukocytosis,leukocyte disease
