Name,Definition,Synonym,Output
Barth syndrome,A lipid metabolism disorder that has_material_basis_in X-linked inheritance of the tafazzin gene and is characterized by decreased production of an enzyme required to produce cardiolipin.,MGA type II,lipid metabolism disorder
carnitine palmitoyltransferase II deficiency,A lipid metabolism disorder characterized by an enzymatic defect that prevents long-chain fatty acids from being transported into the mitochondria.,lethal neonatal carnitine palmitoyltransferase II deficiency,lipid metabolism disorder
chylomicron retention disease,A lipid metabolism disorder characterized by malnutrition,CMRD,lipid metabolism disorder
medium chain acyl-CoA dehydrogenase deficiency,A lipid metabolism disorder that is characterized by a deficiency of the enzyme medium chain acyl-CoA dehydrogenase that results in the inability to convert medium chain fatty acids to energy,Childhood T lymphoblastic lymphoma,lipid metabolism disorder
short chain acyl-CoA dehydrogenase deficiency,A lipid metabolism disorder that is characterized by deficiency of the enzyme short chain acyl-CoA dehydrogenase that results in the inability to convert short chain fatty acids.,Childhood T lymphoblastic lymphoma,lipid metabolism disorder
very long chain acyl-CoA dehydrogenase deficiency,A lipid metabolism disorder that is characterized by deficiency of the enzyme very long chain acyl-CoA dehydrogenase that results in the inability to convert very long chain fatty acids.,Childhood T lymphoblastic lymphoma,lipid metabolism disorder
multiple congenital anomalies-hypotonia-seizures syndrome,A lipid metabolism disorder that is characterized by phosphatidylinositol glycan anchor biosynthesis class A (PIGA) deficiency.,juvenile GM1 gangliosidosis,lipid metabolism disorder
carnitine palmitoyltransferase I deficiency,A lipid metabolism disorder that is characterized by impaired mitochondrial oxidation of long chain fatty acids in the liver and kidneys resulting in episodes of illness- or fasting-induced hypoketotic hypoglycemia,L-CPT1 deficiency,lipid metabolism disorder
mitochondrial trifunctional protein deficiency,A lipid metabolism disorder characterized by abnormal fatty acid oxidation resulting a wide range of clinical manifestations from servere neonatal symptoms including cardiomyopathy,TFPD,lipid metabolism disorder
Refsum disease,A sphingolipidosis characterized by the accumulation of sulfatides in cells,Refsum's disease,lipid metabolism disorder
familial hyperlipidemia,A filariasis that involves parasitic infection caused by the nematode Onchocerca volvulus,hyperlipidaemia,lipid metabolism disorder
obsolete ocular onchocerciasis,A onchocerciasis that involves parasitic infection of the eye by the larvae of Onchocerca volvulus. The microfilariae migrate to the surface of the cornea. Punctate keratitis occurs in the infected area. In severe infection,river blindness,lipid metabolism disorder
obsolete glaucoma associated with systemic syndromes,A onchocerciasis that involves parasitic infection of the eye by the larvae of Onchocerca volvulus. The microfilariae migrate to the surface of the cornea. Punctate keratitis occurs in the infected area. In severe infection,Glaucoma associated with systemic syndromes (disorder),lipid metabolism disorder
hypolipoproteinemia,A labyrinthitis which is an infectious inflammatory disease of a circumscribed area of either the vestibular or the cochlear portion of the labyrinth,Lipoprotein deficiencies,lipid metabolism disorder
lipoid proteinosis,A primary systemic mycosis that results_in a systemic fungal infection,URBACH-WIETHE DISEASE,lipid metabolism disorder
Smith-Lemli-Opitz syndrome,An osteochondrodysplasia that has_material_basis_in abnormal cartilage development due to mutations in the SLC26A2 gene which results_in short limb dwarfism.,Smith-Opitz-Inborn syndrome,lipid metabolism disorder
steroid inherited metabolic disorder,A lipid metabolism disorder that involves defects in steroid metabolism.,X-linked recessive ichthyosis,lipid metabolism disorder
