Name,Definition,Synonym,Output
spindle cell lipoma,A lipoma that is an asymptomatic,spindle cell Lipoma,lipoma
skin lipoma,A skin benign neoplasm that derives_from fat cells.,Lipoma of skin,lipoma
pleomorphic lipoma,A lipoma that is characterized by floret giant cells with overlapping nuclei.,Pleomorphic lipoma,lipoma
classic type lipoma,A lipoma that is characterized by floret giant cells with overlapping nuclei.,Pleomorphic lipoma,lipoma
pleural lipoma,A respiratory system benign neoplasm that derives_from fat cells and is located_in the pleura.,Lipoma of Pleura,lipoma
chest wall lipoma,A thoracic benign neoplasm that derives_from fat cells and is located_in the chest wall.,Lipoma of the Chest Wall,lipoma
gallbladder lipoma,A biliary tract benign neoplasm that is located_in the gallbladder and derives_from fat cells.,Lipoma of the gallbladder,lipoma
obsolete lipoma of intrathoracic organ,A biliary tract benign neoplasm that is located_in the gallbladder and derives_from fat cells.,Lipoma of intrathoracic organs (disorder),lipoma
external auditory meatus lipoma,A biliary tract benign neoplasm that is located_in the gallbladder and derives_from fat cells.,Lipoma of the External ear,lipoma
obsolete lipoma of intra-abdominal organ,A biliary tract benign neoplasm that is located_in the gallbladder and derives_from fat cells.,Lipoma of intra-abdominal organs (disorder),lipoma
lipoma of spermatic cord,A paratesticular lipoma that is located_in the spermatic cord and derives_from fat cells.,Spermatic Cord Lipoma,lipoma
chondroid lipoma,A lipoma that is a deep-seated,Spermatic Cord Lipoma,lipoma
angiolipoma,A lipoma that is a painful subcutaneous nodule,Infiltrating angiolipoma,lipoma
central nervous system lipoma,A central nervous system benign neoplasm that derives_from fat cells.,Lipoma of the CNS,lipoma
infiltrating lipoma,An ovarian mucinous adenofibroma that is characterized by the presence of cysts or cystic spaces.,Intramuscular lipoma,lipoma
obsolete deep fatty neoplasm,An ovarian mucinous adenofibroma that is characterized by the presence of cysts or cystic spaces.,Deep Fatty tumor,lipoma
tendon sheath lipoma,A synovium neoplasm that is located_in the tendon sheath.,Lipoma of the Tendon Sheath,lipoma
