Name,Definition,Synonym,Output
liver angiosarcoma,An angiosarcoma and sarcoma of liver and hemangioma of intra-abdominal structure and Ca liver - primary that is located_in the liver.,hemangiosarcoma of the Liver,liver cancer
obsolete pediatric central nervous system tumor,An angiosarcoma and sarcoma of liver and hemangioma of intra-abdominal structure and Ca liver - primary that is located_in the liver.,pediatric neoplasm of CNS,liver cancer
obsolete nevus,An angiosarcoma and sarcoma of liver and hemangioma of intra-abdominal structure and Ca liver - primary that is located_in the liver.,skin mole,liver cancer
liver sarcoma,A sarcoma and malignant non-epithelial hepatic and intrahepatic bile duct neoplasm sthat is located_in the liver.,hepatic sarcoma,liver cancer
hepatic osteogenic sarcoma,A skin melanoma that is characterized by slow growth of a small pigmented spot on the skin with a clearly defined edge,Osteosarcoma of Liver,liver cancer
liver carcinoma,A liver cancer that has_material_basis_in epithelial cells.,Liver and Intrahepatic bile duct carcinoma,liver cancer
obsolete Endobronchial hamartoma,A liver cancer that has_material_basis_in epithelial cells.,Liver and Intrahepatic bile duct carcinoma,liver cancer
obsolete recurrent cancer of gallbladder,A liver cancer that has_material_basis_in epithelial cells.,relapsed cancer of the gallbladder,liver cancer
hepatoblastoma,An endometrial adenocarcinoma that is composed predominantly or entirely of large eosinophilic cells.,Lymphoma of mediastinum,liver cancer
obsolete cockade nevus,An endometrial adenocarcinoma that is composed predominantly or entirely of large eosinophilic cells.,Cockade nevus (disorder),liver cancer
liver lymphoma,A syndrome that occurs in humans with psoriasis who also experience symptoms similar to arthritis.,Lymphoma of Liver,liver cancer
obsolete Burkitt's tumor or lymphoma involving lymph nodes of multiple sites,A syndrome that occurs in humans with psoriasis who also experience symptoms similar to arthritis.,Burkitt's lymphoma of lymph nodes of multiple sites (disorder),liver cancer
