Name,Definition,Synonym,Output
polycystic echinococcosis,An echinococcosis that is caused by the larvae of Echinococcus vogeli or Echinococcus oligarthrus,neotropical echinococcosis,liver disease
obsolete Hepeviridae infectious disease,A (+)ssRNA virus infectious disease that results_in infection in animals and humans,neotropical echinococcosis,liver disease
obsolete Coxiella burnetii pneumonia,A Q fever that is a zoonotic infectious disease caused by Coxiella burnetii,Q fever pneumonia,liver disease
obsolete Coxiella burnetii hepatitis,A Q fever that involves inflammation of the liver caused by Coxiella burnetti,Q fever hepatitis,liver disease
hepatitis,An autosomal recessive disease that is characterized by bleeding symptoms due to low levels of circulating prothrombin,chronic persistent hepatitis,liver disease
hepatic vascular disease,A vascular disease that is located_in the liver.,vascular disorder of liver,liver disease
liver cancer,A hepatobiliary system cancer that is located_in the liver.,resectable malignant neoplasm of the liver,liver disease
hepatic tuberculosis,A gastrointestinal tuberculosis that involves infection located_in liver,Tuberculosis of liver,liver disease
liver cirrhosis,A cell type benign neoplasm that has_material_basis_in glial-type cells.,cirrhosis of liver,liver disease
hepatopulmonary syndrome,A bone deterioration disease that has_material_basis_in gradual dehydration and tears located_in intervertebral disc.,Hepatopulmonary syndrome,liver disease
obsolete Hodgkin's lymphoma,A bone deterioration disease that has_material_basis_in gradual dehydration and tears located_in intervertebral disc.,Hodgkin's disease,liver disease
liver benign neoplasm,A commensal bacterial infectious disease that results in infection,epithelial hepatic and intrahepatic bile duct neoplasm,liver disease
obsolete Sezary's disease involving intrapelvic lymph nodes,A commensal bacterial infectious disease that results in infection,Szary's disease of intrapelvic lymph nodes (disorder),liver disease
liver inflammatory pseudotumor,An in situ carcinoma that is located_in the rectum.,Inflammatory Pseudotumor of the Liver,liver disease
obsolete amebic colitis,An amebiasis that involves infection of the intestine with the protozoan parasite Entamoeba histolytica trophozoites resulting in intermittent nondysenteric diarrhea with abdominal pain,amoebic colitis,liver disease
Alagille syndrome,A liver disease that is characterized by an accumulation of bile in the liver resulting from a reducted number of liver small bile ducts.,Arteriohepatic dysplasia,liver disease
