Name,Definition,Synonym,Output
adiaspiromycosis,A primary systemic mycosis that is a fungal infection located_in lungs,Tobia fever,lung disease
invasive aspergillosis,An aspergillosis that is a serious fungal infection of the lung with pneumonia caused by Aspergillus,Tobia fever,lung disease
obsolete tonsillar aspergillosis,An aspergillosis that involves fungal infection of the tonsils by Aspergillus species.,Tobia fever,lung disease
obsolete pulmonary blastomycosis,A primary systemic mycosis that results_in fungal infection located_in lungs,Tobia fever,lung disease
obsolete cervix tuberculosis,A primary systemic mycosis that results_in fungal infection located_in lungs,Tobia fever,lung disease
obsolete niacin deficiency,A primary systemic mycosis that results_in fungal infection located_in lungs,Tobia fever,lung disease
obsolete iodine deficiency,A primary systemic mycosis that results_in fungal infection located_in lungs,Tobia fever,lung disease
obsolete hepatic Torque teno virus infectious disease,A viral infectious disease that results_in infection located_in liver,TT virus liver infection,lung disease
pulmonary aspergilloma,An aspergillosis that presents as a clump of tangled mass of Aspergillus fungus fibres,Singapore ear,lung disease
obsolete mycoplasmal pneumonia,A bacterial pneumonia caused by the genus Mycoplasma.,Singapore ear,lung disease
lung abscess,A lung disease characterized by microbial infection which causes a type of liquefactive necrosis of the pulmonary tissue and formation of cavities containing necrotic debris or fluid.,Papillon-Leage-Psaume syndrome,lung disease
pneumonic plague,A plague that results_in infection located_in lung,secondary pneumonic plague,lung disease
dirofilariasis,A filariasis that is a zoonotic infection caused by nematodes Dirofilaria immitis or Dirofilaria repens,Infection by Dirofilaria,lung disease
meconium aspiration syndrome,A syndrome that results_in rheumatoid arthritis,Neonatal aspiration of meconium,lung disease
obsolete esophageal metastasis,A syndrome that results_in rheumatoid arthritis,metastatic tumor to the esophagus,lung disease
respiratory failure,A lung disease characterized by inadequate gas exchange by the respiratory system.,respiratory insufficiency/failure,lung disease
obsolete apnea of prematurity,A lung disease characterized by inadequate gas exchange by the respiratory system.,primary apnea of newborn,lung disease
pneumocystosis,An opportunistic mycosis that is located in lungs,pulmonary pneumocystosis,lung disease
pulmonary alveolar microlithiasis,A commensal streptococcal infectious disease that involves infection of the pharynx and sometimes the larynx and tonsils. It is caused by Group A Streptococcus bacteria. The common symptoms include fever,Streptococcal sore throat NOS (disorder),lung disease
pulmonary hemosiderosis,A lung disease with an unknown etiology affecting the lungs which results in bleeding from tiny alveolar capillaries. Examination of sputum and bronchoalveolar lavage fluid can disclose hemosiderin-laden alveolar macrophages (siderophages),Idiopathic pulmonary hemosiderosis,lung disease
pulmonary alveolar proteinosis,A lung disease that is characterized by abnormal accumulation of surfactant occurs within the alveoli,haemosiderosis,lung disease
obsolete secondary syphilitic periostitis,A lung disease that is characterized by abnormal accumulation of surfactant occurs within the alveoli,secondary syphilitic periostitis (disorder),lung disease
granulomatosis with polyangiitis,An autoimmune hypersensitivity disease that is characterized by necrotizing granulomatous inflammation of the upper and lower respiratory tract,Wegener granulomatosis,lung disease
obsolete Yersinia enterocolitica intestinal infectious disease,A Yersinia infectious disease that involves infection of the intestine caused by Yersinia enterocolitica. The symptoms include fever,Yersinia enterocolitis,lung disease
lung cancer,A respiratory system cancer that is located_in the lung.,lung neoplasm,lung disease
pulmonary sarcoidosis,A sarcoidosis that is characterized by noncaseating granulomatous infiltration of the lungs and supporting lymph nodes,lung Sarcoidosis,lung disease
pulmonary systemic sclerosis,An autoimmune hypersensitivity disease that involves inflammation or pain in the muscles,lung involvement in systemic sclerosis,lung disease
acute chest syndrome,A lung disease that involves a vasoocclusive crisis of the pulmonary vasculature seen in patients with sickle cell anemia. The crisis is initiated by a lung infection,acute chest syndrome in sickle cell disease,lung disease
obsolete rheumatic pneumonia,A lung disease that involves a vasoocclusive crisis of the pulmonary vasculature seen in patients with sickle cell anemia. The crisis is initiated by a lung infection,Rheumatic pneumonia (disorder),lung disease
pneumonic tularemia,A tularemia that is located_in lungs. The bacteria are transmitted_by breathing dusts or aerosols containing the organisms. The infection has_symptom cough,pulmonary tularemia,lung disease
obstructive lung disease,An ischemia that is characterized by insufficient blood flow to the brain to meet metabolic demand.,respiratory airway obstruction,lung disease
middle lobe syndrome,A lung disease that is defined as a recurrent or chronic collapse of the right middle lobe,NSIP,lung disease
bronchiolitis,A lung disease that is an inflammation of the bronchioles,tumor of the lacrimal gland,lung disease
obsolete Poxviridae infectious disease,A dsDNA virus infectious disease that results_in infection in animals and humans,Poxviridae disease,lung disease
pulmonary tuberculosis,A tuberculosis that is a contagious disease located_in lungs. The infection has_symptom fever,labyrinthine disease,lung disease
obsolete environmental illness,A tuberculosis that is a contagious disease located_in lungs. The infection has_symptom fever,labyrinthine disease,lung disease
interstitial lung disease,A lung disease that is characterized by inflammation and altered lung interstitium compromising pulmonary function and often has_symptom shortness of breath,ILD,lung disease
chronic granulomatous disease,A phagocyte bactericidal dysfunction characterized by an inability to resist repeated infectious diseases and a tendency to develop chronic inflammation. Life-threatening recurrent fungal and bacterial infections affecting the skin,Quie syndrome,lung disease
lymphangioleiomyomatosis,A cell type benign neoplasm that is composed of lipocytes.,pulmonary lymphangioleiomyomatosis,lung disease
pulmonary plasma cell granuloma,A embryonal cancer that is located in the kidney.,Sclerosing hemangiocytoma of lung,lung disease
lung benign neoplasm,A supratentorial cancer that is located_in the cerebrum.,tumor of the lung,lung disease
obsolete Helicobacter pylori infectious disease,A supratentorial cancer that is located_in the cerebrum.,Helicobacter Pylori Infection,lung disease
pulmonary immaturity,A soft tissue cancer that is a slow growing tumor of an unknown origin that effects children and effects young adults.,primary atelectasis,lung disease
obsolete malignant miscellaneous mesenchymal tumor,A soft tissue cancer that is a slow growing tumor of an unknown origin that effects children and effects young adults.,primary atelectasis,lung disease
silo filler's disease,A hypersensitivity reaction type IV disease that is characterized by chronic urticarial rash and monoclonal IgM gammopathy,Silo-fillers' disease,lung disease
obsolete agricultural workers' disease,A hypersensitivity reaction type IV disease that is characterized by chronic urticarial rash and monoclonal IgM gammopathy,Silo-fillers' disease,lung disease
pneumonia,A lung disease that involves lung parenchyma or alveolar inflammation and abnormal alveolar filling with fluid (consolidation and exudation). It results from a variety of causes including infection with bacteria,acute pneumonia,lung disease
pulmonary artery disease,An artery disease that is located in the lungs.,Weak heart,lung disease
maple bark strippers' lung,An opportunistic mycosis that is located_in lungs caused by inhalation of fungal spores while stripping the bark from maple logs,Maple-bark strippers' lung,lung disease
Goodpasture syndrome,An autoimmune hypersensitivity disease that is characterized by antibody attack of the basement membrane in lungs and kidneys,anti-glomerular basement membrane disease,lung disease
