Name,Definition,Synonym,Output
sialadenitis,A parotid disease characterized by the inflammation of one or both parotid glands.,Sialoadenitis,lymphadenitis
obsolete Mumps virus infectious disease,A viral infectious disease that results_in infection in humans,Rubulavirus infectious disease,lymphadenitis
obsolete Mumps virus orchitis,A Mumps virus infectious disease that results_in inflammation located_in testis,Mumps orchitis (disorder),lymphadenitis
obsolete Mumps virus polyneuritis,A Mumps virus infectious disease that results_in inflammation located_in peripheral nerves,Polyneuropathy in mumps (disorder),lymphadenitis
obsolete Mumps virus meningitis,A Mumps virus infectious disease that results_in inflammation located_in meninges,Mumps meningitis (disorder),lymphadenitis
mesenteric lymphadenitis,A polycythemia that_has_material_basis in factors intrinsic to red cell precursors.,Mesenteric lymphadenitis,lymphadenitis
Kawasaki disease,A lymphadenitis characterized by swelling of cervical lymph nodes in infants and young children and inflammation of medium-sized blood vessels located_in body,mucocutaneous lymph node syndrome,lymphadenitis
cervical adenitis,A viral infectious disease that results_in infection causing reproductive failure of sows and respiratory problems of piglets and growing pigs,cervical lymphadenitis,lymphadenitis
postauricular lymphadenitis,A viral infectious disease that results_in infection causing reproductive failure of sows and respiratory problems of piglets and growing pigs,cervical lymphadenitis,lymphadenitis
suppurative lymphadenitis,A viral infectious disease that results_in infection causing reproductive failure of sows and respiratory problems of piglets and growing pigs,Suppurative lymphadenopathy,lymphadenitis
axillary adenitis,A viral infectious disease that results_in infection causing reproductive failure of sows and respiratory problems of piglets and growing pigs,Suppurative lymphadenopathy,lymphadenitis
obsolete Bacteroides infectious disease,A viral infectious disease that results_in infection causing reproductive failure of sows and respiratory problems of piglets and growing pigs,Suppurative lymphadenopathy,lymphadenitis
