Name,Definition,Synonym,Output
hemophagocytic lymphohistiocytosis,A lymphatic system disease that is characterized by an expansion of the monocyte-macrophage population and intense hemophagocytosis. It can occur de novo,haemophagocytic syndrome,lymphatic system disease
obsolete tuberculous encephalitis,A lymphatic system disease that is characterized by an expansion of the monocyte-macrophage population and intense hemophagocytosis. It can occur de novo,haemophagocytic syndrome,lymphatic system disease
lymphatic system cancer,An immune system cancer that is located_in the lymphatic system and is characterized by uncontrolled cellular proliferation of lymphoid tissue.,non-bacterial thrombotic endocarditis,lymphatic system disease
Hennekam syndrome,A lymphatic system disease characterized by he presence of intestinal lymphangiectasia,lymphedem-lymphangiectasia-intellectual disability syndrome,lymphatic system disease
splenic disease,A myeloma and spenic disease that is located_in the bone marrow that results_in the marrow being replaced by fibrous (scar) tissue and has_symptom abdominal fullness related to an enlarged spleen,Spleen disease,lymphatic system disease
histiocytosis,A lymphatic system disease that is characterized by an excessive number of histiocytes.,Hand Schuller Christian disease,lymphatic system disease
lymphocele,A dermatophytosis that results_in contagious fungal infection located_in scalp,Lymph cyst,lymphatic system disease
obsolete complications occurring mainly in the course of labor and delivery,A dermatophytosis that results_in contagious fungal infection located_in scalp,Rupture of uterus before onset of labor,lymphatic system disease
obsolete malignant neoplasm of thymus,A dermatophytosis that results_in contagious fungal infection located_in scalp,Rupture of uterus before onset of labor,lymphatic system disease
obsolete bovine anaplasmosis,A dermatophytosis that results_in contagious fungal infection located_in scalp,Anaplasmosis (disorder),lymphatic system disease
obsolete primary Anaplasmataceae infectious disease,A dermatophytosis that results_in contagious fungal infection located_in scalp,Anaplasmosis (disorder),lymphatic system disease
lymphedema,A commensal bacterial infectious disease that results_in infection,Lymphoedema,lymphatic system disease
obsolete Ewing's family recurrent tumor,A commensal bacterial infectious disease that results_in infection,recurrent Ewing's sarcoma/peripheral primitive neuroectodermal tumor,lymphatic system disease
obsolete recurrent primitive neuroectodermal tumor,A commensal bacterial infectious disease that results_in infection,recurrent Ewing's sarcoma/peripheral primitive neuroectodermal tumor,lymphatic system disease
obsolete metastatic Ewing's sarcoma,A commensal bacterial infectious disease that results_in infection,Ewing's sarcoma,lymphatic system disease
obsolete metastatic Ewing's sarcoma/peripheral primitive neuroectodermal tumor,A commensal bacterial infectious disease that results_in infection,Ewing's sarcoma,lymphatic system disease
thymus gland disease,A fallopian tube cancer that derives_from germ cells.,disease of thymus gland,lymphatic system disease
lymphangitis,A lymphatic system disease that is characterized by inflammation of the lymphatic channels which occurs as a result of infection at a site distal to the channel. It is caused by Streptococcus pyogenes (Group A strep) or Staphylococcus aureus. Lymphangitis is also sometimes called blood poisoning.,Glaucoma associated with anomalies of iris (disorder),lymphatic system disease
obsolete intervertebral disc disorder,A lymphatic system disease that is characterized by inflammation of the lymphatic channels which occurs as a result of infection at a site distal to the channel. It is caused by Streptococcus pyogenes (Group A strep) or Staphylococcus aureus. Lymphangitis is also sometimes called blood poisoning.,displacement of thoracic or lumbar intervertebral disc without myelopathy,lymphatic system disease
obsolete Cestoda infectious disease,A parasitic helminthiasis infectious disease that involves infection by parasitic flatworms known as tapeworms living in the vertebrate digestive tract.,Unspecified teniasis (disorder),lymphatic system disease
lymph node disease,An acute inflammation of lacrimal passage that is characterized by inflammation of the lacrimal sac,lacrimal mucocele,lymphatic system disease
obsolete syphilitic episcleritis,An acute inflammation of lacrimal passage that is characterized by inflammation of the lacrimal sac,lacrimal mucocele,lymphatic system disease
