Name,Definition,Synonym,Output
Sertoli cell-only syndrome,A male infertility disease characterized by male sterility,Germinal Cell Aplasia,male infertility
spermatogenic failure 21,A male infertility characterized by acephalic spermatozoa,HSAN1,male infertility
spermatogenic failure 2,A male infertility characterized by azoospermia or severe oligozoospermia that has_material_basis_in inversions on chromosome 1.,SPGF2,male infertility
spermatogenic failure 18,A male infertility characterized by sperm flagellar morphological abnormalities that has_material_basis_in homozygous or compound heterozygous mutation in the DNAH1 gene on chromosome 3p21.,SPGF18,male infertility
spermatogenic failure 20,A male infertility characterized by autosomal recessive inheritance of sperm flagellar morphological abnormalities that has_material_basis_in mutation in the CFAP44 gene on chromosome 3q13.,SPGF20,male infertility
spermatogenic failure 6,A male infertility characterized by autosomal recessive inheritance of globozoospermia that has_material_basis_in mutation in the SPATA16 gene on chromosome 3q26.,SPGF6,male infertility
spermatogenic failure 3,A male infertility characterized by autosomal dominant inheritance of nonobstructive asthenozoospermia that has_material_basis_in heterozygous mutation in the SLC26A8 gene on chromosome 6p21.,SPGF3,male infertility
spermatogenic failure 8,A male infertility characterized by autosomal dominant inheritance of azoospermia or moderate to severe oligozoospermia that has_material_basis_in heterozygous mutation in the NR5A1 gene on chromosome 9q33.,SPGF8,male infertility
spermatogenic failure 19,A male infertility characterized by autosomal recessive inheritance of sperm flagellar morphological abnormalities that has_material_basis_in mutation in the CFAP43 gene on chromosome 10q25.,SPGF19,male infertility
spermatogenic failure 12,A male infertility characterized by autosomal dominant inheritance of azoospermia or severe oligoasthenoteratozoospermia and in some cases a Sertolic cell-only phenotype that has_material_basis_in heterozygous mutation in the NANOS1 gene on chromosome 10q26.,SPGF12,male infertility
spermatogenic failure 7,A male infertility characterized by autosomal recessive inheritance of impaired or absent sperm motility and increased incidence of morphologically abnormal sperm that has_material_basis_in mutation in the CATSPER1 gene on chromosome 11q13.,SPGF7,male infertility
spermatogenic failure 17,A male infertility characterized by autosomal recessive inheritance of oocyte activation failure following intracytoplasmic sperm injection that has_material_basis_in mutation in the PLCZ1 gene on chromosome 12p12.,SPGF17,male infertility
obsolete spermatogenic failure 9,A male infertility characterized by autosomal recessive inheritance of oocyte activation failure following intracytoplasmic sperm injection that has_material_basis_in mutation in the PLCZ1 gene on chromosome 12p12.,SPGF17,male infertility
spermatogenic failure 10,A male infertility characterized by defects in the annulus or the ring-like structure located at the distal end of the flagellar midpiece the autosomal dominant inheritance of that has_material_basis_in mutation in the SEPT12 gene on chromosome 16p13.,SPGF10,male infertility
spermatogenic failure 11,A male infertility characterized by autosomal dominant inheritance of oligozoospermia and in some cases teratozoospermia and/or moderate asthenozoospermia that has_material_basis_in mutation in the KLHL10 gene on chromosome 17q21.,SPGF11,male infertility
spermatogenic failure 13,A male infertility characterized by autosomal recessive inheritance of azoospermia or oligozoospermia that has_material_basis_in mutation in the TAF4B gene on chromosome 18q11.,SPGF13,male infertility
spermatogenic failure 5,A male infertility characterized by autosomal recessive inheritance of large-headed,SPGF5,male infertility
spermatogenic failure 16,A male infertility characterized by autosomal recessive inheritance of acephalic spermatozoa that has_material_basis_in mutation in the SUN5 gene on chromosome 20q11.,SPGF16,male infertility
Y-linked spermatogenic failure 2,A male infertility characterized by nonobstroctive azoospermia or oligozoospermia that has_material_basis_in interstitial deletions on the Yq11.221 chromosomal region.,SPGFY2,male infertility
spermatogenic failure 1,A male infertility characterized by autosomal recessive inheritance of spermatogenic failure resulting from meiotic defects.,SPGF1,male infertility
oligoasthenoteratozoospermia,A form of male infertility that is characterized by a combination of low number or oligozoospermia,oligoasthenoteratospermia,male infertility
obsolete Peters-Plus Syndrome,A syndrome that is characterized by anterior chamber eye anomalies,oligoasthenoteratospermia,male infertility
spermatogenic failure 9,A male infertility characterized by round-headed spermatozoa lacking an acrosome and that has_material_basis_in autosomal recessive inheritance in a mutation in the DPY19L2 gene on chromosome 12q14.,male infertility due to round-headed spermatozoa,male infertility
infertility due to extratesticular cause,A spotted fever that has_material_basis_in Rickettsia conorii subsp conorii,Infertility due to extratesticular causes,male infertility
azoospermia,A male infertility disease characterized by the absence of any measurable level of sperm in semen.,spermatogenic failure,male infertility
oligospermia,A male fertility issue defined as a low sperm concentration in the ejaculate.,spermatogenic failure,male infertility
