Name,Definition,Synonym,Output
epididymis cancer,A leukemia that develops slowly.,malignant tumor of epididymis,male reproductive organ cancer
obsolete metastatic tumor to the epididymis,A leukemia that develops slowly.,secondary malignant neoplasm of epididymis (disorder),male reproductive organ cancer
penile cancer,A syndrome characterized by hyperandrogenism,penile neoplasm,male reproductive organ cancer
spermatic cord cancer,An aspergillosis that involves an allergic reaction due to the spores of Aspergillus moulds (A. fumigatus),Spermatic cord Ca,male reproductive organ cancer
seminal vesicle adenocarcinoma,A male reproductive organ cancer that derives_from epithelial cells of glandular origin.,adenocarcinoma of the rete testis,male reproductive organ cancer
testicular cancer,A male reproductive system cancer that is located_in the testicles.,testis neoplasm,male reproductive organ cancer
scrotum neoplasm,An in situ carcinoma that is located_in the endometrium.,scrotum cancer,male reproductive organ cancer
rete testis neoplasm,A pancreatic ductal carcinoma that derives_from squamous cells and gland-like cells.,malignant Giant cell neoplasm of soft Parts,male reproductive organ cancer
Littre gland carcinoma,A male reproductive organ cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells and is_located_in the Littre glands.,Splenic neoplasm,male reproductive organ cancer
Cowper gland carcinoma,A male reproductive organ cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells and is_located_in the Cowper's gland.,Meningococcal carditis,male reproductive organ cancer
