Name,Definition,Synonym,Output
male reproductive organ benign neoplasm,A reproductive organ benign neoplasm that is characterized by a lack of malignancy located_in the male reproductive system.,non-bacterial thrombotic endocarditis,male reproductive system disease
epididymis disease,An inflammatory myofibroblastic tumor composed of epithelioid or round cells with a characteristic perinuclear or nuclear membrane staining pattern with ALK immunohistochemistry,X-linked spondyloepiphyseal dysplasia tarda,male reproductive system disease
chylocele of tunica vaginalis,A hypertension with no known cause. It is the most common type of hypertension.,primary hypertension,male reproductive system disease
obsolete diabetes mellitus with hyperosmolarity,A hypertension with no known cause. It is the most common type of hypertension.,primary hypertension,male reproductive system disease
obsolete diabetes mellitus,A hypertension with no known cause. It is the most common type of hypertension.,Diabetes mellitus,male reproductive system disease
obsolete diabetes mellitus,A hypertension with no known cause. It is the most common type of hypertension.,Diabetes mellitus,male reproductive system disease
spermatocele,An osteosclerosis that results_in numerous bone islands located_in skeleton.,Torsion of testis,male reproductive system disease
male genital organ stricture,A protein-energy malnutrition that is characterized by severe caloric deprivation,Stricture of male genital organs,male reproductive system disease
male genital organ vascular disease,A protein-energy malnutrition that is characterized by severe caloric deprivation,vascular disorder of male genital organs,male reproductive system disease
male infertility,A protein-energy malnutrition that is characterized by severe caloric deprivation,vascular disorder of male genital organs,male reproductive system disease
penile disease,A large intestine cancer that is located_in the cecum.,Weber-Christian disease,male reproductive system disease
obsolete fibroepithelial neoplasm,A mixed neoplasm that consist of epithelial tissue,Fibroepithelial tumor (qualifier value),male reproductive system disease
obsolete male non-neoplastic reproductive system disease,A mixed neoplasm that consist of epithelial tissue,Fibroepithelial tumor (qualifier value),male reproductive system disease
testicular disease,A skin carcinoma affecting basal cells.,testis disorder,male reproductive system disease
male reproductive organ cancer,A reproductive organ cancer that is manifested in the male genital system. This includes organs such as the penis and scrotum.,tumor of male Reproductive system,male reproductive system disease
prostate disease,A globe disease that is characterized by inflammation of the inside of the eye.,malignant neoplasm of epicardium,male reproductive system disease
inhibited male orgasm,A viral infectious disease that results_in infection in swine,male Orgasmic disorder,male reproductive system disease
vesiculitis,An asthma that is a life threatening condition with progressive respiratory failure,Seminal vesiculitis,male reproductive system disease
hydrocele,A corneal ulcer that is characterized by ulceration and opacification of the central cornea and is caused by minor trauma and subsequent infection by bacterial or mycotic organisms.,Stye,male reproductive system disease
obsolete axillary metastasis,A corneal ulcer that is characterized by ulceration and opacification of the central cornea and is caused by minor trauma and subsequent infection by bacterial or mycotic organisms.,metastatic malignant tumor to the Axilla,male reproductive system disease
obsolete malignant neoplasm of ribs,A corneal ulcer that is characterized by ulceration and opacification of the central cornea and is caused by minor trauma and subsequent infection by bacterial or mycotic organisms.,Ca ribs/sternum/clavicle,male reproductive system disease
obsolete secondary malignant neoplasm to the chest wall,A corneal ulcer that is characterized by ulceration and opacification of the central cornea and is caused by minor trauma and subsequent infection by bacterial or mycotic organisms.,Ca ribs/sternum/clavicle,male reproductive system disease
obsolete malignant neoplasm of thoracic esophagus,A corneal ulcer that is characterized by ulceration and opacification of the central cornea and is caused by minor trauma and subsequent infection by bacterial or mycotic organisms.,Ca ribs/sternum/clavicle,male reproductive system disease
