Name,Definition,Synonym,Output
malignant cardiac peripheral nerve sheath neoplasm,A syndrome characterized by acute brain damage and liver function problems. It has been associated with aspirin consumption by children with viral illness,MPNST of Heart,malignant peripheral nerve sheath tumor
malignant melanocytic neoplasm of the peripheral nerve sheath,A vulva adenocarcinoma that has_material_basis in eccrine glands.,Melanotic malignant peripheral nerve sheath tumour,malignant peripheral nerve sheath tumor
malignant triton tumor,A substance abuse that involves the recurring use of amphetamines despite negative consequences.,MPNST with Rhabdomyosarcoma,malignant peripheral nerve sheath tumor
obsolete recurrent ovarian epithelial cancer,A substance abuse that involves the recurring use of amphetamines despite negative consequences.,relapsed carcinoma of Ovary,malignant peripheral nerve sheath tumor
obsolete metastatic anal cancer,A substance abuse that involves the recurring use of amphetamines despite negative consequences.,secondary carcinoma from the anus,malignant peripheral nerve sheath tumor
childhood malignant schwannoma,An adolescence-adult electroclinical syndrome starting in adolescence exhibiting generalized tonic-clonic seizures as the only seizure type.,pediatric MPNST,malignant peripheral nerve sheath tumor
epithelioid malignant peripheral nerve sheath tumor,A vascular cancer that is located_in the aorta.,malignant epithelioid neoplasm of the peripheral nerve Sheath,malignant peripheral nerve sheath tumor
adult malignant schwannoma,A cervical adenosquamous carcinoma that is a rare form and is composed of cells with a glass-like cytoplasm.,adult MPNST,malignant peripheral nerve sheath tumor
obsolete mixed embryonal carcinoma and endodermal sinus neoplasm with seminoma of the testis,A cervical adenosquamous carcinoma that is a rare form and is composed of cells with a glass-like cytoplasm.,mixed Embryonal carcinoma and Yolk Sac tumor with Seminoma of testis,malignant peripheral nerve sheath tumor
obsolete ectopic calcitonin production,A cervical adenosquamous carcinoma that is a rare form and is composed of cells with a glass-like cytoplasm.,Ectopic Calcitonin Secretion,malignant peripheral nerve sheath tumor
obsolete recurrent endometrial cancer,A cervical adenosquamous carcinoma that is a rare form and is composed of cells with a glass-like cytoplasm.,relapsed carcinoma of Endometrium,malignant peripheral nerve sheath tumor
obsolete ectopic chorionic gonadotropin secretion disease,A cervical adenosquamous carcinoma that is a rare form and is composed of cells with a glass-like cytoplasm.,relapsed carcinoma of Endometrium,malignant peripheral nerve sheath tumor
obsolete metastatic non-cutaneous melanoma,A cervical adenosquamous carcinoma that is a rare form and is composed of cells with a glass-like cytoplasm.,relapsed carcinoma of Endometrium,malignant peripheral nerve sheath tumor
obsolete mixed embryonal carcinoma and seminoma of the testis,A cervical adenosquamous carcinoma that is a rare form and is composed of cells with a glass-like cytoplasm.,mixed Embryonal carcinoma and Seminoma of testis,malignant peripheral nerve sheath tumor
malignant glandular tumor of peripheral nerve sheath,An interstitial lung disease involving inflammation of alveoli and smallest airways (bronchioles) of the lung caused by an allergic reaction to inhaled organic dusts containing microorganisms or proteins,glandular MPNST,malignant peripheral nerve sheath tumor
