Name,Definition,Synonym,Output
maturity-onset diabetes of the young type 1,A maturity-onset diabetes of the young that has_material_basis_in mutation in the HNF4A gene on chromosome 20.,MODY1,maturity-onset diabetes of the young
maturity-onset diabetes of the young type 2,A maturity-onset diabetes of the young that has_material_basis_in heterozygous mutation in the GCK gene on chromosome 7p13.,MODY2,maturity-onset diabetes of the young
maturity-onset diabetes of the young type 5,A maturity-onset diabetes of the young characterized by abnormal renal development resuting in non-diabetic kidney disease and diabetes that has_material_basis_in mutation in the HNF1B gene on chromosome 17q12.,renal cysts and diabetes syndrome,maturity-onset diabetes of the young
maturity-onset diabetes of the young type 3,A maturity-onset diabetes of the young that has_material_basis_in mutation in the HNF1A gene on chromosome 12q24.31.,MODY3,maturity-onset diabetes of the young
maturity-onset diabetes of the young type 4,A maturity-onset diabetes of the young that has_material_basis_in mutation in the PDX1 gene on chromosome 13q12.2.,MODY4,maturity-onset diabetes of the young
maturity-onset diabetes of the young type 6,A maturity-onset diabetes of the young that has_material_basis_in heterozygous mutation in the NEUROD1 gene on chromosome 2q31.,MODY6,maturity-onset diabetes of the young
maturity-onset diabetes of the young type 8,A maturity-onset diabetes of the young that has_material_basis_in frameshift deletions in the variable number of tandem repeats of the CEL gene om chromosome 9q34.13.,MODY8,maturity-onset diabetes of the young
maturity-onset diabetes of the young type 7,A maturity-onset diabetes of the young that has_material_basis_in heterozygous mutation in the KLF11 gene on chromosome 2p25.,MODY7,maturity-onset diabetes of the young
maturity-onset diabetes of the young type 9,A maturity-onset diabetes of the young that has_material_basis_in heterozygous mutation in the PAX4 gene on chromosome 7q32.1.,MODY9,maturity-onset diabetes of the young
maturity-onset diabetes of the young type 10,A maturity-onset diabetes of the young that has_material_basis_in heterozygous mutation in the INS gene on chromosome 11p15.5.,MODY10,maturity-onset diabetes of the young
maturity-onset diabetes of the young type 11,A maturity-onset diabetes of the young that has_material_basis_in heterozygous mutation in the BLK gene on chromosome 8p23-p22.,MODY11,maturity-onset diabetes of the young
maturity-onset diabetes of the young type 13,A maturity-onset diabetes of the young that has_material_basis_in heterozygous mutation in the KCNJ11 gene on chromosome 11p15.,MODY13,maturity-onset diabetes of the young
maturity-onset diabetes of the young type 14,A maturity-onset diabetes of the young that has_material_basis_in heterozygous mutation in the APPL1 gene on chromosome 3p14.,MODY14,maturity-onset diabetes of the young
