Name,Definition,Synonym,Output
large cell medulloblastoma,A medulloblastoma that is characterized by cells that are larger than would be normally expected.,large cell Medulloblastoma,medulloblastoma
obsolete relapsed medulloblastoma,A medulloblastoma that is characterized by cells that are larger than would be normally expected.,large cell Medulloblastoma,medulloblastoma
obsolete postpericardiotomy syndrome,A medulloblastoma that is characterized by cells that are larger than would be normally expected.,Postcardiotomy syndrome,medulloblastoma
medullomyoblastoma,A medulloblastoma that is characterized by cells that are larger than would be normally expected.,Medullomyoblastoma,medulloblastoma
obsolete FAP associated medulloblastoma,A medulloblastoma that is characterized by cells that are larger than would be normally expected.,Medullomyoblastoma,medulloblastoma
obsolete region 17p13 allelic loss associated medulloblastoma,A medulloblastoma that is characterized by cells that are larger than would be normally expected.,Medullomyoblastoma,medulloblastoma
adult medulloblastoma,A medulloblastoma that is characterized by cells that are larger than would be normally expected.,adult brain medulloblastoma,medulloblastoma
melanotic medulloblastoma,A medulloblastoma that is characterized by cells that are larger than would be normally expected.,Melanotic Medulloblastoma,medulloblastoma
childhood medulloblastoma,A medulloblastoma that is characterized by cells that are larger than would be normally expected.,pediatric Medulloblastoma,medulloblastoma
nodular medulloblastoma,A medulloblastoma that is characterized by cells that are larger than would be normally expected.,metastatic tumor to the Leptomeninges,medulloblastoma
