Name,Definition,Synonym,Output
acrodermatitis enteropathica,A metal metabolism disorder characterized by dermatitis around bodily openings and the tips of fingers and toes,Horn-Kolb Syndrome,metal metabolism disorder
atransferrinemia,A metal metabolism disorder that is characterized by transferrin deficiency,familial hypotransferrinemia,metal metabolism disorder
primary hypomagnesemia,A metal metabolism disorder characterized by very low serum magnesium levels often with secondary hypocalcemia with onset typically in the first months of life.,primary familial hypomagnesemia,metal metabolism disorder
hypermanganesemia with dystonia,A metal metabolism disorder that is characterized by involuntary,fibromyxoid sarcoma,metal metabolism disorder
autosomal dominant hypocalcemia,A metal metabolism disorder characterized by autosomal dominant inheritance of variable degrees of hypocalcemia with normal to low levels of parathyroid hormone.,HYPOC,metal metabolism disorder
molybdenum cofactor deficiency,A metal metabolism disease characterized by encephalopathy that worsens over time resulting from the absence of molybdenum cofactor which leads to accumulation of toxic levels of sulphite and neurological damage.,MOCOD,metal metabolism disorder
occipital horn syndrome,A metal metabolism disorder characterized by hyperelastic and bruisable skin,X-linked cutis laxa,metal metabolism disorder
familial periodic paralysis,A squamous cell carcinoma that is located_in the prostate.,malignant Phyllodes neoplasm of the prostate,metal metabolism disorder
Menkes disease,An epilepsy syndrome that is characterised by generalised seizures with no apparent cause which arise from many independent foci (multifocal epilepsies) or from epileptic circuits that involve the whole brain.,steely hair syndrome,metal metabolism disorder
hemochromatosis,A metal metabolism disorder characterized by the accumulation of iron in various organs of the body.,iron storage disorder,metal metabolism disorder
pseudohypoparathyroidism,A scleroderma that is characterized by fibrosis (or hardening) of the skin and major organs,Pseudopseudohypoparathyroidism,metal metabolism disorder
Wilson disease,A specific developmental disorder that involves difficulty in scholastic skills such as reading,Wilson's disease,metal metabolism disorder
