Name,Definition,Synonym,Output
mitochondrial DNA depletion syndrome 8b,A mitochondrial DNA depletion syndrome that is characterized by ophthalmoplegia,mitochondrial neurogastrointestinal encephalopathy syndrome,mitochondrial DNA depletion syndrome
mitochondrial DNA depletion syndrome 1,A mitochondrial DNA depletion syndrome that is characterized by onset between the second and fifth decades of life of ptosis,mitochondrial neurogastrointestinal encephalopathy syndrome,mitochondrial DNA depletion syndrome
mitochondrial DNA depletion syndrome 2,A mitochondrial DNA depletion syndrome that is characterized by childhood onset of muscle weakness associated with depletion of mtDNA in skeletal muscle,TK2-related mitochondrial DNA depletion syndrome,mitochondrial DNA depletion syndrome
mitochondrial DNA depletion syndrome 3,A mitochondrial DNA depletion syndrome that is characterized by onset in infancy of progressive liver failure and neurologic abnormalities,deoxyguanosine kinase deficiency,mitochondrial DNA depletion syndrome
mitochondrial DNA depletion syndrome 4a,A mitochondrial DNA depletion syndrome that is characterized by a clinical triad of psychomotor retardation,progressive sclerosing poliodystrophy,mitochondrial DNA depletion syndrome
mitochondrial DNA depletion syndrome 4b,A mitochondrial DNA depletion syndrome that is characterized by chronic gastrointestinal dysmotility and pseudoobstruction,mitochondrial neurogastrointestinal encephalopathy syndrome,mitochondrial DNA depletion syndrome
mitochondrial DNA depletion syndrome 5,A mitochondrial DNA depletion syndrome that is characterized by infantile onset of hypotonia,succinate-CoA ligase deficiency,mitochondrial DNA depletion syndrome
mitochondrial DNA depletion syndrome 6,A mitochondrial DNA depletion syndrome that is characterized by infantile onset of progressive liver failure,Navajo neurohepatopathy,mitochondrial DNA depletion syndrome
mitochondrial DNA depletion syndrome 7,A mitochondrial DNA depletion syndrome that is characterized by progressive ataxia,OHAHA SYNDROME,mitochondrial DNA depletion syndrome
mitochondrial DNA depletion syndrome 8a,A mitochondrial DNA depletion syndrome that is characterized by neonatal hypotonia,RRM2B-related mitochondrial DNA depletion syndrome,mitochondrial DNA depletion syndrome
mitochondrial DNA depletion syndrome 9,A mitochondrial DNA depletion syndrome that is characterized by infantile onset of hypotonia,fatal infantile lactic acidosis,mitochondrial DNA depletion syndrome
mitochondrial DNA depletion syndrome 11,A mitochondrial DNA depletion syndrome that is characterized by onset in childhood or adulthood of progressive external ophthalmoplegia (PEO),progressive external ophthalmoplegia-myopathy-emaciation syndrome,mitochondrial DNA depletion syndrome
mitochondrial DNA depletion syndrome 12a,A mitochondrial DNA depletion syndrome that is characterized by severe hypotonia due to mitochondrial dysfunction apparent at birth and has_material_basis_in autosomal dominant inheritance of heterozygous mutation in the solute carrier family 25 member 4 gene on chromosome 4q35.,progressive external ophthalmoplegia-myopathy-emaciation syndrome,mitochondrial DNA depletion syndrome
mitochondrial DNA depletion syndrome 13,A mitochondrial DNA depletion syndrome that is characterized by early infantile onset of encephalopathy,mitochondrial DNA depletion syndrome 13,mitochondrial DNA depletion syndrome
Sengers syndrome,A mitochondrial DNA depletion syndrome that is characterized by congenital cataracts,mitochondrial DNA depletion syndrome 10 (cardiomyopathic type),mitochondrial DNA depletion syndrome
mitochondrial DNA depletion syndrome 12b,A mitochondrial DNA depletion syndrome that is characterized by childhood onset of slowly progressive hypertrophic cardiomyopathy and generalized skeletal myopathy resulting in exercise intolerance,Familial bicuspid aortic valve,mitochondrial DNA depletion syndrome
mitochondrial DNA depletion syndrome 14,A mitochondrial DNA depletion syndrome that is characterized by severe lethal infantile mitochondrial encephalomyopathy and hypertrophic cardiomyopathy,Familial bicuspid aortic valve,mitochondrial DNA depletion syndrome
mitochondrial DNA depletion syndrome 15,A mitochondrial DNA depletion syndrome that is characterized by severe intrauterine growth restriction,Familial bicuspid aortic valve,mitochondrial DNA depletion syndrome
