Name,Definition,Synonym,Output
spinal muscular atrophy,A motor neuron disease that is a degenerative neuromuscular disease characterized by lower motor neuron degeneration associated with progressive muscle weakness and atrophy.,Type III Spinal Muscular Atrophy,motor neuron disease
obsolete predominant psychomotor disturbance,A motor neuron disease that is a degenerative neuromuscular disease characterized by lower motor neuron degeneration associated with progressive muscle weakness and atrophy.,Type III Spinal Muscular Atrophy,motor neuron disease
obsolete mixed disorder as reaction to stress,A motor neuron disease that is a degenerative neuromuscular disease characterized by lower motor neuron degeneration associated with progressive muscle weakness and atrophy.,Type III Spinal Muscular Atrophy,motor neuron disease
obsolete acute erythremia and erythroleukemia in remission,A motor neuron disease that is a degenerative neuromuscular disease characterized by lower motor neuron degeneration associated with progressive muscle weakness and atrophy.,Type III Spinal Muscular Atrophy,motor neuron disease
obsolete predominant disturbance of consciousness,A motor neuron disease that is a degenerative neuromuscular disease characterized by lower motor neuron degeneration associated with progressive muscle weakness and atrophy.,Type III Spinal Muscular Atrophy,motor neuron disease
lateral sclerosis,A motor neuron disease characterized by painless but progressive weakness and stiffness of the muscles of the legs.,primary lateral sclerosis,motor neuron disease
progressive muscular atrophy,A fallopian tube benign neoplasm that has_material_basis_in the serosa and is characterized by exophytic growth.,Pure progressive muscular atrophy,motor neuron disease
amyotrophic lateral sclerosis,A motor neuron disease that is characterized by muscle spasticity,motor neuron disease,motor neuron disease
progressive bulbar palsy,A vaginal adenoma that resembles the colorectal tubular adenoma.,Basal cell nevus with Comedones,motor neuron disease
motor neuritis,A pancreatic carcinoma that is characterized by its papillary architecture.,peripheral motor neuropathy,motor neuron disease
obsolete resectable pancreas carcinoma,A pancreatic carcinoma that is characterized by its papillary architecture.,pancreatic carcinoma,motor neuron disease
obsolete recurrent anal cancer,A pancreatic carcinoma that is characterized by its papillary architecture.,recurrent anal canal cancer,motor neuron disease
