Name,Definition,Synonym,Output
Trichomonas tenax trichomoniasis,A trichomoniasis that is caused by a singled-celled protozoan parasite Trichomonas tenax,urogenital trichomonas,mouth disease
obsolete cutaneous ascomycota mycosis,A cutaneous mycosis that results_in fungal infection located_in skin,urogenital trichomonas,mouth disease
obsolete cutaneous basidiomycota mycosis,A cutaneous mycosis that results_in fungal infection located_in skin,urogenital trichomonas,mouth disease
obsolete Neoscytalidium dimidiatum infectious disease,A dermatomycosis that results_in fungal infection located_in nail,urogenital trichomonas,mouth disease
obsolete Scopulariopsis infectious disease,An opportunistic mycosis that has_material_basis_in Scopulariopsis,urogenital trichomonas,mouth disease
obsolete onychomycosis,A dermatomycosis that results_in fungal infection located_in nail,urogenital trichomonas,mouth disease
obsolete subcutaneous ascomycota mycosis,A subcutaneous mycosis that results_in fungal infection located_in skin and located_in subcutaneous tissue,urogenital trichomonas,mouth disease
obsolete subcutaneous fungi incertae sedis mycosis,A subcutaneous mycosis that results_in fungal infection located_in skin and located_in subcutaneous tissue,urogenital trichomonas,mouth disease
oral hairy leukoplakia,A mouth disease characterized by a white patch on the side of the tongue with a corrugated or hairy appearance; caused by Epstein-Barr virus.,hairy leukoplakia,mouth disease
salivary gland disease,A otitis media which is an expansile,Salivary gland disease,mouth disease
obsolete congenital chromosomal disease,A otitis media which is an expansile,Salivary gland disease,mouth disease
tooth disease,A cerebral degeneration characterized by an abnormal accumulation of cerebrospinal fluid in the ventricles of the brain,hydrocephalus,mouth disease
obsolete echovirus meningitis,A coxsackie meningitis that results_in inflammation located_in meningeal cluster,hydrocephalus,mouth disease
obsolete echovirus infectious disease,An Enterovirus infectious disease that results_in infection located_in gastrointestinal tract,Enteric cytopathic human orphan virus infection,mouth disease
tongue disease,A specific developmental disorder that is characterized by co-existence of attentional problems and hyperactivity,brain aneurysm,mouth disease
bejel,A primary bacterial infectious disease that results in infection located in mucosa of mouth,Nonvenereal endemic syphilis,mouth disease
oral candidiasis,A candidiasis that involves fungal infection of the mucous membrane of the mouth by Candida species,Thrush,mouth disease
obsolete fits in newborn,A candidiasis that involves fungal infection of the mucous membrane of the mouth by Candida species,Seizures in newborn,mouth disease
burning mouth syndrome,A viral infectious disease that is a hemorrhagic fever,Stomatopyrosis,mouth disease
obsolete familial hypophosphatemia,A viral infectious disease that is a hemorrhagic fever,Hypophosphatemia,mouth disease
oral leukoedema,An ovarian carcinoma that is characterized by large pleiomorphic cells with large round or oval nuclei,Leukedema of mouth,mouth disease
oral submucous fibrosis,A hematologic cancer and central nervous system neoplasm that is located_in the central nervous system.,Oral submucosal fibrosis,mouth disease
oral cavity cancer,A gastrointestinal system cancer that is located_in the oral cavity.,malignant tumor of the Floor of the Mouth,mouth disease
lip disease,A peripheral vascular disease characterized by blood trapped in the penis that is unable to drain.,disease of lips,mouth disease
stomatitis,A hereditary ataxia characterized by sporadic bouts of ataxia with or without continuous muscle movement.,Isaacs syndrome,mouth disease
oral mucosa leukoplakia,A pathologic nystagmus,piroplasmosis,mouth disease
