Name,Definition,Synonym,Output
congenital mirror movement disorder,A movement disease characterized by involuntary movements of one side of the body that mirror intentional movements on the opposite side primarily involving the upper limbs.,isolated congenital mirror movements,movement disease
choreatic disease,A movement disease characterized by brief,hereditary chorea,movement disease
obsolete non-neoplastic nevus of skin,A movement disease characterized by brief,Non-neoplastic nevus of skin (disorder) [Ambiguous],movement disease
obsolete senile nevus,A movement disease characterized by brief,Senile nevus (disorder),movement disease
obsolete acrosyringeal nevus,A movement disease characterized by brief,Acrosyringeal nevus (disorder),movement disease
Stiff-Person syndrome,A movement disease that is of unknown etiology characterized by progressive rigidity.,Stiff-man syndrome,movement disease
extrapyramidal and movement disease,A skin disease located_in the sweat glands.,Patent ductus Botalli,movement disease
obsolete Chlamydia trachomatis urethritis,A skin disease located_in the sweat glands.,Nongonococcal urethritis due to Chlamydia trachomatis (disorder),movement disease
obsolete suppressed lactation - delivered,A skin disease located_in the sweat glands.,Suppressed lactation,movement disease
obsolete suppressed lactation,A skin disease located_in the sweat glands.,Suppressed lactation,movement disease
obsolete acquired hallux varus,A skin disease located_in the sweat glands.,Hallux varus - acquired,movement disease
benign shuddering attacks,An aortic valve disease that is characterized by narrowing of the heart's aortic valve opening.,rheumatic aortic valve stenosis,movement disease
essential tremor,A movement disorder that causes involuntary tremors,shaky hand syndrome,movement disease
dystonia,An ovarian disease where ovaries do not produce estrogen despite high levels of circulating gonadotropins in women under 40.,dystonic disease,movement disease
obsolete intraurothelial neoplasia,An ovarian disease where ovaries do not produce estrogen despite high levels of circulating gonadotropins in women under 40.,dystonic disease,movement disease
progressive supranuclear palsy,A movement disease that is characterized by serious and progressive problems with control of gait and balance,Steele-Richardson-Olszewski syndrome,movement disease
obsolete pediatric desmoplastic small round cell tumor,A movement disease that is characterized by serious and progressive problems with control of gait and balance,Steele-Richardson-Olszewski syndrome,movement disease
obsolete desmoplastic small round cell tumor,A movement disease that is characterized by serious and progressive problems with control of gait and balance,desmoplastic small round-cell neoplasm,movement disease
lingual-facial-buccal dyskinesia,A vestibular disease characterized by vertigo,Oro-facial dyskinesia,movement disease
obsolete syphilitic interstitial keratitis,A vestibular disease characterized by vertigo,Oro-facial dyskinesia,movement disease
