Name,Definition,Synonym,Output
congenital muscular dystrophy,A muscular dystrophy that is characterized by diminished muscle tone (hypotonia),X-linked sideroblastic anemia and ataxia,muscular dystrophy
scapuloperoneal myopathy,A muscular dystrophy which begins at the lower legs and affects the shoulder region earlier and more severely than distal arm.,isolated congenital sclerocornea,muscular dystrophy
oculopharyngeal muscular dystrophy,A substance abuse that involves the recurring use of antidepressant drugs despite negative consequences.,Oculopharyngeal muscular dystrophy,muscular dystrophy
distal myopathy,A muscular dystrophy that is characterized by predominant weakness and atrophy beginning in the feet and/or hands.,Miyoshi muscular dystrophy,muscular dystrophy
Duchenne muscular dystrophy,A muscular dystrophy that has_material_basis_in X-linked mutations in the DMD gene found on the X chromosome. It is characterized by rapidly progressing muscle weakness and muscle atrophy initially involving the lower extremities and eventually affecting the whole body. It affects males whereas females can be carriers. The symptoms start before the age of six and may appear at infancy.,Muscular dystrophy,muscular dystrophy
limb-girdle muscular dystrophy,A muscular dystrophy that is characterized by weakening of the muscles of the hip and shoulders which comprise the limb girdle muscles.,limb girdle muscular dystrophy,muscular dystrophy
Emery-Dreifuss muscular dystrophy,A muscular dystrophy that chiefly affects muscles used for movement (skeletal) and heart (cardiac) muscle.,EDMD,muscular dystrophy
facioscapulohumeral muscular dystrophy,A muscular dystrophy that chiefly affects muscles used for movement (skeletal) and heart (cardiac) muscle.,Muscular dystrophy,muscular dystrophy
myotonic disease,A muscular dystrophy that is characterized by progressive muscle wasting and weakness.,secondary malignant neoplasm of uterine cervix (disorder),muscular dystrophy
Becker muscular dystrophy,A muscular dystrophy that involves slowly worsening muscle weakness of the legs and pelvis,Benign pseudohypertrophic muscular dystrophy,muscular dystrophy
