Name,Definition,Synonym,Output
myofibrillar myopathy 1,A myofibrillar myopathy that has_material_basis_in heterozygous,desminopathy,myofibrillar myopathy
myofibrillar myopathy 2,A myofibrillar myopathy that has_material_basis_in heterozygous mutation in the alpha-B-crystallin gene on chromosome 11q23.,alpha-b crystallinopathy,myofibrillar myopathy
myofibrillar myopathy 3,A myofibrillar myopathy that has_material_basis_in heterozygous mutation in the TTID gene on chromosome 5q31.,myotilinopathy,myofibrillar myopathy
myofibrillar myopathy 4,A myofibrillar myopathy that has_material_basis_in heterozygous mutation in the ZASP gene on chromosome 10.,zaspopathy,myofibrillar myopathy
myofibrillar myopathy 5,A myofibrillar myopathy that has_material_basis_in heterozygous mutation in the FLNC gene on chromosome 7q32.,filaminopathy,myofibrillar myopathy
myofibrillar myopathy 6,A myofibrillar myopathy that has_material_basis_in heterozygous mutation in the BAG3 gene on chromosome 10q26.,BAG3-related myofibrillar myopathy,myofibrillar myopathy
myofibrillar myopathy 7,A myofibrillar myopathy that has_material_basis_in homozygous mutation in the KY gene on chromosome 3q22.,BAG3-related myofibrillar myopathy,myofibrillar myopathy
myofibrillar myopathy 8,A myofibrillar myopathy that is characterized by childhood onset of slowly progressive proximal muscle weakness and atrophy resulting in increased falls,complex sleep apnea,myofibrillar myopathy
fatal infantile hypertonic myofibrillar myopathy,A myofibrillar myopathy that has_material_basis_in homozygous mutation in the CRYAB gene on chromosome 11q23.,complex sleep apnea,myofibrillar myopathy
myofibrillar myopathy 9,A myofibrillar myopathy characterized by adult onset of slowly progressive muscle weakness involving the diaphragm and resulting in respiratory insufficiency that has_material_basis_in heterozygous mutation in the TTN gene on chromosome 2q31.,proximal myopathy with early respiratory muscle involvement,myofibrillar myopathy
